,2024-09-30
TreasurySharesNumber,
OrdinarySharesNumber,15116786000.0
ShareIssued,15116786000.0
NetDebt,76686000000.0
TotalDebt,106629000000.0
TangibleBookValue,56950000000.0
InvestedCapital,163579000000.0
WorkingCapital,-23405000000.0
NetTangibleAssets,56950000000.0
CapitalLeaseObligations,
CommonStockEquity,56950000000.0
TotalCapitalization,142700000000.0
TotalEquityGrossMinorityInterest,56950000000.0
StockholdersEquity,56950000000.0
GainsLossesNotAffectingRetainedEarnings,-7172000000.0
OtherEquityAdjustments,-7172000000.0
RetainedEarnings,-19154000000.0
CapitalStock,83276000000.0
CommonStock,83276000000.0
TotalLiabilitiesNetMinorityInterest,308030000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,131638000000.0
OtherNonCurrentLiabilities,36634000000.0
TradeandOtherPayablesNonCurrent,9254000000.0
LongTermDebtAndCapitalLeaseObligation,85750000000.0
LongTermCapitalLeaseObligation,
LongTermDebt,85750000000.0
CurrentLiabilities,176392000000.0
OtherCurrentLiabilities,51703000000.0
CurrentDeferredLiabilities,8249000000.0
CurrentDeferredRevenue,8249000000.0
CurrentDebtAndCapitalLeaseObligation,20879000000.0
CurrentCapitalLeaseObligation,
CurrentDebt,20879000000.0
OtherCurrentBorrowings,10912000000.0
CommercialPaper,9967000000.0
PayablesAndAccruedExpenses,95561000000.0
Payables,95561000000.0
TotalTaxPayable,26601000000.0
IncomeTaxPayable,26601000000.0
AccountsPayable,68960000000.0
TotalAssets,364980000000.0
TotalNonCurrentAssets,211993000000.0
OtherNonCurrentAssets,55335000000.0
NonCurrentDeferredAssets,19499000000.0
NonCurrentDeferredTaxesAssets,19499000000.0
InvestmentsAndAdvances,91479000000.0
OtherInvestments,
InvestmentinFinancialAssets,91479000000.0
AvailableForSaleSecurities,91479000000.0
NetPPE,45680000000.0
AccumulatedDepreciation,-73448000000.0
GrossPPE,119128000000.0
Leases,14233000000.0
OtherProperties,
MachineryFurnitureEquipment,80205000000.0
LandAndImprovements,24690000000.0
Properties,0.0
CurrentAssets,152987000000.0
OtherCurrentAssets,14287000000.0
Inventory,7286000000.0
Receivables,66243000000.0
OtherReceivables,32833000000.0
AccountsReceivable,33410000000.0
CashCashEquivalentsAndShortTermInvestments,65171000000.0
OtherShortTermInvestments,35228000000.0
CashAndCashEquivalents,29943000000.0
CashEquivalents,2744000000.0
CashFinancial,27199000000.0
