,2023-09-30
FreeCashFlow,99584000000.0
RepurchaseOfCapitalStock,-77550000000.0
RepaymentOfDebt,-11151000000.0
IssuanceOfDebt,5228000000.0
IssuanceOfCapitalStock,
CapitalExpenditure,-10959000000.0
InterestPaidSupplementalData,3803000000.0
IncomeTaxPaidSupplementalData,18679000000.0
EndCashPosition,30737000000.0
BeginningCashPosition,24977000000.0
ChangesInCash,5760000000.0
FinancingCashFlow,-108488000000.0
CashFlowFromContinuingFinancingActivities,-108488000000.0
NetOtherFinancingCharges,-6012000000.0
CashDividendsPaid,-15025000000.0
CommonStockDividendPaid,-15025000000.0
NetCommonStockIssuance,-77550000000.0
CommonStockPayments,-77550000000.0
CommonStockIssuance,
NetIssuancePaymentsOfDebt,-9901000000.0
NetShortTermDebtIssuance,-3978000000.0
NetLongTermDebtIssuance,-5923000000.0
LongTermDebtPayments,-11151000000.0
LongTermDebtIssuance,5228000000.0
InvestingCashFlow,3705000000.0
CashFlowFromContinuingInvestingActivities,3705000000.0
NetOtherInvestingChanges,-1337000000.0
NetInvestmentPurchaseAndSale,16001000000.0
SaleOfInvestment,45514000000.0
PurchaseOfInvestment,-29513000000.0
NetBusinessPurchaseAndSale,
PurchaseOfBusiness,
NetPPEPurchaseAndSale,-10959000000.0
PurchaseOfPPE,-10959000000.0
OperatingCashFlow,110543000000.0
CashFlowFromContinuingOperatingActivities,110543000000.0
ChangeInWorkingCapital,-6577000000.0
ChangeInOtherWorkingCapital,
ChangeInOtherCurrentLiabilities,3031000000.0
ChangeInOtherCurrentAssets,-5684000000.0
ChangeInPayablesAndAccruedExpense,-1889000000.0
ChangeInPayable,-1889000000.0
ChangeInAccountPayable,-1889000000.0
ChangeInInventory,-1618000000.0
ChangeInReceivables,-417000000.0
ChangesInAccountReceivables,-1688000000.0
OtherNonCashItems,-2227000000.0
StockBasedCompensation,10833000000.0
DeferredTax,
DeferredIncomeTax,
DepreciationAmortizationDepletion,11519000000.0
DepreciationAndAmortization,11519000000.0
NetIncomeFromContinuingOperations,96995000000.0
