,2023-09-30
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.147
NormalizedEBITDA,125820000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,96995000000.0
ReconciledDepreciation,11519000000.0
ReconciledCostOfRevenue,214137000000.0
EBITDA,125820000000.0
EBIT,114301000000.0
NetInterestIncome,-183000000.0
InterestExpense,3933000000.0
InterestIncome,3750000000.0
NormalizedIncome,96995000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,96995000000.0
TotalExpenses,268984000000.0
TotalOperatingIncomeAsReported,114301000000.0
DilutedAverageShares,15812547000.0
BasicAverageShares,15744231000.0
DilutedEPS,6.13
BasicEPS,6.16
DilutedNIAvailtoComStockholders,96995000000.0
NetIncomeCommonStockholders,96995000000.0
NetIncome,96995000000.0
NetIncomeIncludingNoncontrollingInterests,96995000000.0
NetIncomeContinuousOperations,96995000000.0
TaxProvision,16741000000.0
PretaxIncome,113736000000.0
OtherIncomeExpense,-565000000.0
OtherNonOperatingIncomeExpenses,-565000000.0
NetNonOperatingInterestIncomeExpense,-183000000.0
InterestExpenseNonOperating,3933000000.0
InterestIncomeNonOperating,3750000000.0
OperatingIncome,114301000000.0
OperatingExpense,54847000000.0
ResearchAndDevelopment,29915000000.0
SellingGeneralAndAdministration,24932000000.0
GrossProfit,169148000000.0
CostOfRevenue,214137000000.0
TotalRevenue,383285000000.0
OperatingRevenue,383285000000.0
