,2023-12-31
TreasurySharesNumber,0.0
OrdinarySharesNumber,535400000.0
ShareIssued,535400000.0
NetDebt,53669000000.0
TotalDebt,64613000000.0
TangibleBookValue,-45038000000.0
InvestedCapital,70845000000.0
WorkingCapital,11940000000.0
NetTangibleAssets,-45038000000.0
CommonStockEquity,6232000000.0
TotalCapitalization,69402000000.0
TotalEquityGrossMinorityInterest,6232000000.0
StockholdersEquity,6232000000.0
GainsLossesNotAffectingRetainedEarnings,-289000000.0
OtherEquityAdjustments,9000000.0
ForeignCurrencyTranslationAdjustments,-298000000.0
UnrealizedGainLoss,0.0
RetainedEarnings,-26549000000.0
CapitalStock,33070000000.0
CommonStock,33070000000.0
TotalLiabilitiesNetMinorityInterest,90922000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,72530000000.0
OtherNonCurrentLiabilities,2326000000.0
TradeandOtherPayablesNonCurrent,4680000000.0
NonCurrentDeferredLiabilities,2354000000.0
NonCurrentDeferredTaxesLiabilities,2354000000.0
LongTermDebtAndCapitalLeaseObligation,63170000000.0
LongTermDebt,63170000000.0
CurrentLiabilities,18392000000.0
CurrentDebtAndCapitalLeaseObligation,1443000000.0
CurrentDebt,1443000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1381000000.0
CurrentProvisions,
PayablesAndAccruedExpenses,15568000000.0
CurrentAccruedExpenses,11109000000.0
InterestPayable,936000000.0
Payables,4459000000.0
DividendsPayable,1205000000.0
TotalTaxPayable,1664000000.0
IncomeTaxPayable,1664000000.0
AccountsPayable,1590000000.0
TotalAssets,97154000000.0
TotalNonCurrentAssets,66822000000.0
OtherNonCurrentAssets,9611000000.0
GoodwillAndOtherIntangibleAssets,51270000000.0
OtherIntangibleAssets,32641000000.0
Goodwill,18629000000.0
NetPPE,5941000000.0
AccumulatedDepreciation,-9808000000.0
GrossPPE,15749000000.0
ConstructionInProgress,1550000000.0
OtherProperties,4813000000.0
MachineryFurnitureEquipment,4540000000.0
BuildingsAndImprovements,4507000000.0
LandAndImprovements,339000000.0
Properties,0.0
CurrentAssets,30332000000.0
OtherCurrentAssets,281000000.0
PrepaidAssets,1647000000.0
Inventory,9518000000.0
FinishedGoods,2778000000.0
WorkInProcess,5747000000.0
RawMaterials,993000000.0
Receivables,7942000000.0
DuefromRelatedPartiesCurrent,502000000.0
TaxesReceivable,172000000.0
AccountsReceivable,7268000000.0
CashCashEquivalentsAndShortTermInvestments,10944000000.0
OtherShortTermInvestments,0.0
CashAndCashEquivalents,10944000000.0
