,2023-12-31
FreeCashFlow,7359000000.0
RepurchaseOfCapitalStock,0.0
RepaymentOfDebt,-1454000000.0
IssuanceOfDebt,27777000000.0
CapitalExpenditure,-1112000000.0
EndCashPosition,10944000000.0
BeginningCashPosition,7629000000.0
ChangesInCash,3315000000.0
FinancingCashFlow,21048000000.0
CashFlowFromContinuingFinancingActivities,21048000000.0
NetOtherFinancingCharges,-719000000.0
CashDividendsPaid,-4556000000.0
CommonStockDividendPaid,-4556000000.0
NetCommonStockIssuance,0.0
CommonStockPayments,0.0
NetIssuancePaymentsOfDebt,26323000000.0
NetLongTermDebtIssuance,26323000000.0
LongTermDebtPayments,-1454000000.0
LongTermDebtIssuance,27777000000.0
InvestingCashFlow,-26204000000.0
CashFlowFromContinuingInvestingActivities,-26204000000.0
NetOtherInvestingChanges,225000000.0
NetInvestmentPurchaseAndSale,1672000000.0
SaleOfInvestment,1673000000.0
PurchaseOfInvestment,-1000000.0
NetBusinessPurchaseAndSale,-26989000000.0
SaleOfBusiness,
PurchaseOfBusiness,-26989000000.0
NetPPEPurchaseAndSale,-1112000000.0
PurchaseOfPPE,-1112000000.0
OperatingCashFlow,8471000000.0
CashFlowFromContinuingOperatingActivities,8471000000.0
ChangeInWorkingCapital,-484000000.0
ChangeInOtherWorkingCapital,
ChangeInOtherCurrentLiabilities,-222000000.0
ChangeInOtherCurrentAssets,-564000000.0
ChangeInPayablesAndAccruedExpense,826000000.0
ChangeInAccruedExpense,1888000000.0
ChangeInPayable,-1062000000.0
ChangeInAccountPayable,-402000000.0
ChangeInTaxPayable,-660000000.0
ChangeInIncomeTaxPayable,-660000000.0
ChangeInInventory,491000000.0
ChangeInReceivables,-1015000000.0
ChangesInAccountReceivables,-1015000000.0
OtherNonCashItems,563000000.0
StockBasedCompensation,431000000.0
DeferredTax,-1273000000.0
DeferredIncomeTax,-1273000000.0
DepreciationAmortizationDepletion,4071000000.0
DepreciationAndAmortization,4071000000.0
Depreciation,4071000000.0
OperatingGainsLosses,-1554000000.0
EarningsLossesFromEquityInvestments,11000000.0
GainLossOnInvestmentSecurities,-1565000000.0
GainLossOnSaleOfBusiness,0.0
NetIncomeFromContinuingOperations,6717000000.0
