,2024-12-31
TreasurySharesNumber,515000000.0
OrdinarySharesNumber,10593000000.0
ShareIssued,11108000000.0
NetDebt,
TotalDebt,130900000000.0
TangibleBookValue,254294000000.0
InvestedCapital,338593000000.0
WorkingCapital,11436000000.0
NetTangibleAssets,254294000000.0
CapitalLeaseObligations,78277000000.0
CommonStockEquity,285970000000.0
TotalCapitalization,338593000000.0
TotalEquityGrossMinorityInterest,285970000000.0
StockholdersEquity,285970000000.0
GainsLossesNotAffectingRetainedEarnings,-34000000.0
OtherEquityAdjustments,-34000000.0
TreasuryStock,7837000000.0
RetainedEarnings,172866000000.0
AdditionalPaidInCapital,120864000000.0
CapitalStock,111000000.0
CommonStock,111000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,338924000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,159493000000.0
OtherNonCurrentLiabilities,28593000000.0
LongTermDebtAndCapitalLeaseObligation,130900000000.0
LongTermCapitalLeaseObligation,78277000000.0
LongTermDebt,52623000000.0
CurrentLiabilities,179431000000.0
CurrentDeferredLiabilities,18103000000.0
CurrentDeferredRevenue,18103000000.0
PayablesAndAccruedExpenses,161328000000.0
CurrentAccruedExpenses,66965000000.0
Payables,94363000000.0
AccountsPayable,94363000000.0
TotalAssets,624894000000.0
TotalNonCurrentAssets,434027000000.0
OtherNonCurrentAssets,73545000000.0
GoodwillAndOtherIntangibleAssets,31676000000.0
OtherIntangibleAssets,8602000000.0
Goodwill,23074000000.0
NetPPE,328806000000.0
AccumulatedDepreciation,-141390000000.0
GrossPPE,470196000000.0
ConstructionInProgress,46636000000.0
OtherProperties,300521000000.0
MachineryFurnitureEquipment,
LandAndImprovements,
Properties,123039000000.0
CurrentAssets,190867000000.0
Inventory,34214000000.0
InventoriesAdjustmentsAllowances,-3000000000.0
OtherInventories,37214000000.0
FinishedGoods,
Receivables,55451000000.0
AccountsReceivable,55451000000.0
AllowanceForDoubtfulAccountsReceivable,-2000000000.0
GrossAccountsReceivable,57451000000.0
CashCashEquivalentsAndShortTermInvestments,101202000000.0
OtherShortTermInvestments,22423000000.0
CashAndCashEquivalents,78779000000.0
