,2024-12-31
FreeCashFlow,32878000000.0
RepurchaseOfCapitalStock,0.0
RepaymentOfDebt,-16954000000.0
IssuanceOfDebt,5142000000.0
CapitalExpenditure,-82999000000.0
InterestPaidSupplementalData,2364000000.0
IncomeTaxPaidSupplementalData,12308000000.0
EndCashPosition,82312000000.0
BeginningCashPosition,73890000000.0
EffectOfExchangeRateChanges,-1301000000.0
ChangesInCash,9723000000.0
FinancingCashFlow,-11812000000.0
CashFlowFromContinuingFinancingActivities,-11812000000.0
NetOtherFinancingCharges,
NetCommonStockIssuance,0.0
CommonStockPayments,0.0
NetIssuancePaymentsOfDebt,-11812000000.0
NetShortTermDebtIssuance,82000000.0
ShortTermDebtPayments,-5060000000.0
ShortTermDebtIssuance,5142000000.0
NetLongTermDebtIssuance,-11894000000.0
LongTermDebtPayments,-11894000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-94342000000.0
CashFlowFromContinuingInvestingActivities,-94342000000.0
NetInvestmentPurchaseAndSale,-9602000000.0
SaleOfInvestment,16403000000.0
PurchaseOfInvestment,-26005000000.0
NetBusinessPurchaseAndSale,-7082000000.0
PurchaseOfBusiness,-7082000000.0
NetPPEPurchaseAndSale,-77658000000.0
SaleOfPPE,5341000000.0
PurchaseOfPPE,-82999000000.0
OperatingCashFlow,115877000000.0
CashFlowFromContinuingOperatingActivities,115877000000.0
ChangeInWorkingCapital,-15541000000.0
ChangeInOtherWorkingCapital,4007000000.0
ChangeInOtherCurrentAssets,-14483000000.0
ChangeInPayablesAndAccruedExpense,68000000.0
ChangeInAccruedExpense,-2904000000.0
ChangeInPayable,2972000000.0
ChangeInAccountPayable,2972000000.0
ChangeInInventory,-1884000000.0
ChangeInReceivables,-3249000000.0
ChangesInAccountReceivables,-3249000000.0
OtherNonCashItems,2012000000.0
StockBasedCompensation,22011000000.0
DeferredTax,-4648000000.0
DeferredIncomeTax,-4648000000.0
DepreciationAmortizationDepletion,52795000000.0
DepreciationAndAmortization,52795000000.0
NetIncomeFromContinuingOperations,59248000000.0
