,2024-12-31
TaxEffectOfUnusualItems,-246971244.935436
TaxRateForCalcs,0.135031
NormalizedEBITDA,125644000000.0
TotalUnusualItems,-1829000000.0
TotalUnusualItemsExcludingGoodwill,-1829000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,59248000000.0
ReconciledDepreciation,52795000000.0
ReconciledCostOfRevenue,513337000000.0
EBITDA,123815000000.0
EBIT,71020000000.0
NetInterestIncome,2271000000.0
InterestExpense,2406000000.0
InterestIncome,4677000000.0
NormalizedIncome,60830028755.06457
NetIncomeFromContinuingAndDiscontinuedOperation,59248000000.0
TotalExpenses,569366000000.0
TotalOperatingIncomeAsReported,68593000000.0
DilutedAverageShares,
BasicAverageShares,
DilutedEPS,
BasicEPS,
DilutedNIAvailtoComStockholders,59248000000.0
NetIncomeCommonStockholders,59248000000.0
NetIncome,59248000000.0
NetIncomeIncludingNoncontrollingInterests,59248000000.0
NetIncomeContinuousOperations,59248000000.0
EarningsFromEquityInterestNetOfTax,-101000000.0
TaxProvision,9265000000.0
PretaxIncome,68614000000.0
OtherIncomeExpense,-2250000000.0
OtherNonOperatingIncomeExpenses,-421000000.0
GainOnSaleOfSecurity,-1829000000.0
NetNonOperatingInterestIncomeExpense,2271000000.0
InterestExpenseNonOperating,2406000000.0
InterestIncomeNonOperating,4677000000.0
OperatingIncome,68593000000.0
OperatingExpense,56029000000.0
OtherOperatingExpenses,763000000.0
ResearchAndDevelopment,
SellingGeneralAndAdministration,55266000000.0
SellingAndMarketingExpense,43907000000.0
GeneralAndAdministrativeExpense,11359000000.0
OtherGandA,11359000000.0
GrossProfit,124622000000.0
CostOfRevenue,513337000000.0
TotalRevenue,637959000000.0
OperatingRevenue,637959000000.0
