,2024-12-31
TreasurySharesNumber,
PreferredSharesNumber,1600000.0
OrdinarySharesNumber,702000000.0
ShareIssued,702000000.0
NetDebt,10537000000.0
TotalDebt,51089000000.0
TangibleBookValue,25954000000.0
InvestedCapital,81353000000.0
NetTangibleAssets,25954000000.0
CapitalLeaseObligations,
CommonStockEquity,30264000000.0
TotalCapitalization,79979000000.0
TotalEquityGrossMinorityInterest,30264000000.0
StockholdersEquity,30264000000.0
GainsLossesNotAffectingRetainedEarnings,-3395000000.0
ForeignCurrencyTranslationAdjustments,-2924000000.0
MinimumPensionLiabilities,-462000000.0
UnrealizedGainLoss,-9000000.0
RetainedEarnings,22148000000.0
AdditionalPaidInCapital,11370000000.0
CapitalStock,141000000.0
CommonStock,141000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,241197000000.0
EmployeeBenefits,2676000000.0
NonCurrentDeferredLiabilities,4042000000.0
NonCurrentDeferredRevenue,4042000000.0
LongTermDebtAndCapitalLeaseObligation,49715000000.0
LongTermCapitalLeaseObligation,
LongTermDebt,49715000000.0
CurrentDebtAndCapitalLeaseObligation,1374000000.0
CurrentDebt,1374000000.0
OtherCurrentBorrowings,1374000000.0
CommercialPaper,
PayablesAndAccruedExpenses,17391000000.0
CurrentAccruedExpenses,2121000000.0
Payables,15270000000.0
TotalTaxPayable,1386000000.0
IncomeTaxPayable,1386000000.0
AccountsPayable,13884000000.0
TotalAssets,271461000000.0
InvestmentsAndAdvances,1240000000.0
AvailableForSaleSecurities,287000000.0
GoodwillAndOtherIntangibleAssets,4310000000.0
OtherIntangibleAssets,123000000.0
Goodwill,4187000000.0
NetPPE,6175000000.0
AccumulatedDepreciation,-10739000000.0
GrossPPE,16914000000.0
OtherProperties,16914000000.0
Receivables,
OtherReceivables,
AccountsReceivable,
AllowanceForDoubtfulAccountsReceivable,
GrossAccountsReceivable,
OtherShortTermInvestments,953000000.0
CashAndCashEquivalents,40552000000.0
CashEquivalents,139000000.0
CashFinancial,3407000000.0
CashCashEquivalentsAndFederalFundsSold,40640000000.0
