,2023-12-31
FreeCashFlow,16996000000.0
RepurchaseOfCapitalStock,-3650000000.0
RepaymentOfDebt,-10703000000.0
IssuanceOfDebt,15674000000.0
IssuanceOfCapitalStock,28000000.0
CapitalExpenditure,-1563000000.0
EndCashPosition,46596000000.0
BeginningCashPosition,33914000000.0
EffectOfExchangeRateChanges,177000000.0
ChangesInCash,12505000000.0
FinancingCashFlow,18379000000.0
CashFlowFromContinuingFinancingActivities,18379000000.0
CashDividendsPaid,-1780000000.0
CommonStockDividendPaid,-1780000000.0
NetPreferredStockIssuance,0.0
PreferredStockPayments,0.0
PreferredStockIssuance,0.0
NetCommonStockIssuance,-3622000000.0
CommonStockPayments,-3650000000.0
CommonStockIssuance,28000000.0
NetIssuancePaymentsOfDebt,4866000000.0
NetShortTermDebtIssuance,-105000000.0
NetLongTermDebtIssuance,4971000000.0
LongTermDebtPayments,-10703000000.0
LongTermDebtIssuance,15674000000.0
InvestingCashFlow,-24433000000.0
CashFlowFromContinuingInvestingActivities,-24433000000.0
NetOtherInvestingChanges,
NetInvestmentPurchaseAndSale,2318000000.0
SaleOfInvestment,3890000000.0
PurchaseOfInvestment,-1572000000.0
NetBusinessPurchaseAndSale,-64000000.0
SaleOfBusiness,0.0
PurchaseOfBusiness,-64000000.0
NetPPEPurchaseAndSale,-1563000000.0
PurchaseOfPPE,-1563000000.0
OperatingCashFlow,18559000000.0
CashFlowFromContinuingOperatingActivities,18559000000.0
ChangeInWorkingCapital,3821000000.0
ChangeInOtherCurrentAssets,-1244000000.0
ChangeInPayablesAndAccruedExpense,5065000000.0
ChangeInPayable,5065000000.0
ChangeInAccountPayable,5065000000.0
OtherNonCashItems,669000000.0
StockBasedCompensation,450000000.0
DeferredTax,-1329000000.0
DeferredIncomeTax,-1329000000.0
DepreciationAmortizationDepletion,1651000000.0
DepreciationAndAmortization,1651000000.0
NetIncomeFromContinuingOperations,8374000000.0
