,2024-12-31
TaxEffectOfUnusualItems,87720000.0
TaxRateForCalcs,0.215
TotalUnusualItems,408000000.0
TotalUnusualItemsExcludingGoodwill,408000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10129000000.0
ReconciledDepreciation,1676000000.0
NetInterestIncome,15543000000.0
InterestExpense,8252000000.0
InterestIncome,23795000000.0
NormalizedIncome,9808720000.0
NetIncomeFromContinuingAndDiscontinuedOperation,10129000000.0
DilutedAverageShares,
BasicAverageShares,
DilutedEPS,
BasicEPS,
DilutedNIAvailtoComStockholders,9995000000.0
NetIncomeCommonStockholders,9995000000.0
OtherunderPreferredStockDividend,76000000.0
PreferredStockDividends,58000000.0
NetIncome,10129000000.0
NetIncomeIncludingNoncontrollingInterests,10129000000.0
NetIncomeContinuousOperations,10129000000.0
TaxProvision,2766000000.0
PretaxIncome,12895000000.0
SpecialIncomeCharges,408000000.0
GainOnSaleOfBusiness,531000000.0
RestructuringAndMergernAcquisition,123000000.0
GainOnSaleOfSecurity,
SellingGeneralAndAdministration,14238000000.0
SellingAndMarketingExpense,6040000000.0
GeneralAndAdministrativeExpense,8198000000.0
SalariesAndWages,8198000000.0
TotalRevenue,65949000000.0
OperatingRevenue,65949000000.0
OccupancyAndEquipment,
ProfessionalExpenseAndContractServicesExpense,2274000000.0
OtherNonInterestExpense,31765000000.0
