,2024-12-31
TreasurySharesNumber,263044840.0
OrdinarySharesNumber,749216319.0
ShareIssued,1012261159.0
NetDebt,39824000000.0
TotalDebt,54188000000.0
TangibleBookValue,-13955000000.0
InvestedCapital,49711000000.0
WorkingCapital,30920000000.0
NetTangibleAssets,-13949000000.0
CapitalLeaseObligations,563000000.0
CommonStockEquity,-3914000000.0
PreferredStockEquity,6000000.0
TotalCapitalization,48525000000.0
TotalEquityGrossMinorityInterest,-3914000000.0
MinorityInterest,-6000000.0
StockholdersEquity,-3908000000.0
GainsLossesNotAffectingRetainedEarnings,-10915000000.0
OtherEquityAdjustments,-10915000000.0
ForeignCurrencyTranslationAdjustments,
MinimumPensionLiabilities,
TreasuryStock,32386000000.0
RetainedEarnings,15362000000.0
AdditionalPaidInCapital,18964000000.0
CapitalStock,5067000000.0
CommonStock,5061000000.0
PreferredStock,6000000.0
TotalLiabilitiesNetMinorityInterest,160277000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,63199000000.0
OtherNonCurrentLiabilities,2318000000.0
EmployeeBenefits,8173000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,8173000000.0
NonCurrentDeferredLiabilities,122000000.0
NonCurrentDeferredTaxesLiabilities,122000000.0
LongTermDebtAndCapitalLeaseObligation,52586000000.0
LongTermCapitalLeaseObligation,153000000.0
LongTermDebt,52433000000.0
CurrentLiabilities,97078000000.0
OtherCurrentLiabilities,7634000000.0
CurrentDeferredLiabilities,60333000000.0
CurrentDeferredRevenue,60333000000.0
CurrentDebtAndCapitalLeaseObligation,1602000000.0
CurrentCapitalLeaseObligation,410000000.0
CurrentDebt,1192000000.0
OtherCurrentBorrowings,1192000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,6562000000.0
CurrentProvisions,2133000000.0
PayablesAndAccruedExpenses,18814000000.0
CurrentAccruedExpenses,7450000000.0
InterestPayable,796000000.0
Payables,11364000000.0
TotalTaxPayable,
IncomeTaxPayable,
AccountsPayable,11364000000.0
TotalAssets,156363000000.0
TotalNonCurrentAssets,28365000000.0
OtherNonCurrentAssets,5414000000.0
NonCurrentDeferredAssets,185000000.0
NonCurrentDeferredTaxesAssets,185000000.0
NonCurrentAccountsReceivable,
InvestmentsAndAdvances,999000000.0
GoodwillAndOtherIntangibleAssets,10041000000.0
OtherIntangibleAssets,1957000000.0
Goodwill,8084000000.0
NetPPE,11726000000.0
AccumulatedDepreciation,-22925000000.0
GrossPPE,34651000000.0
ConstructionInProgress,2339000000.0
OtherProperties,314000000.0
MachineryFurnitureEquipment,16660000000.0
BuildingsAndImprovements,14985000000.0
LandAndImprovements,353000000.0
Properties,0.0
CurrentAssets,127998000000.0
OtherCurrentAssets,2965000000.0
Inventory,87550000000.0
FinishedGoods,75192000000.0
WorkInProcess,
RawMaterials,12358000000.0
Receivables,11201000000.0
ReceivablesAdjustmentsAllowances,-92000000.0
OtherReceivables,8576000000.0
AccountsReceivable,2717000000.0
CashCashEquivalentsAndShortTermInvestments,26282000000.0
OtherShortTermInvestments,12481000000.0
CashAndCashEquivalents,13801000000.0
