,2024-12-31
FreeCashFlow,-14398000000.0
RepaymentOfDebt,-8673000000.0
IssuanceOfDebt,10161000000.0
IssuanceOfCapitalStock,23857000000.0
CapitalExpenditure,-2318000000.0
EndCashPosition,13801000000.0
OtherCashAdjustmentOutsideChangeinCash,-21000000.0
BeginningCashPosition,12713000000.0
EffectOfExchangeRateChanges,-47000000.0
ChangesInCash,1156000000.0
FinancingCashFlow,25209000000.0
CashFlowFromContinuingFinancingActivities,25209000000.0
NetOtherFinancingCharges,-136000000.0
ProceedsFromStockOptionExercised,
CashDividendsPaid,
CommonStockDividendPaid,
NetPreferredStockIssuance,5657000000.0
PreferredStockIssuance,5657000000.0
NetCommonStockIssuance,18200000000.0
CommonStockIssuance,18200000000.0
NetIssuancePaymentsOfDebt,1488000000.0
NetLongTermDebtIssuance,1488000000.0
LongTermDebtPayments,-8673000000.0
LongTermDebtIssuance,10161000000.0
InvestingCashFlow,-11973000000.0
CashFlowFromContinuingInvestingActivities,-11973000000.0
NetOtherInvestingChanges,-665000000.0
NetInvestmentPurchaseAndSale,-9113000000.0
SaleOfInvestment,4743000000.0
PurchaseOfInvestment,-13856000000.0
NetBusinessPurchaseAndSale,74000000.0
SaleOfBusiness,124000000.0
PurchaseOfBusiness,-50000000.0
NetIntangiblesPurchaseAndSale,-88000000.0
PurchaseOfIntangibles,-88000000.0
NetPPEPurchaseAndSale,-2181000000.0
SaleOfPPE,49000000.0
PurchaseOfPPE,-2230000000.0
OperatingCashFlow,-12080000000.0
CashFlowFromContinuingOperatingActivities,-12080000000.0
ChangeInWorkingCapital,-8768000000.0
ChangeInOtherWorkingCapital,2745000000.0
ChangeInOtherCurrentLiabilities,-329000000.0
ChangeInOtherCurrentAssets,-16000000.0
ChangeInPayablesAndAccruedExpense,770000000.0
ChangeInAccruedExpense,1563000000.0
ChangeInPayable,-793000000.0
ChangeInAccountPayable,-793000000.0
ChangeInPrepaidAssets,
ChangeInInventory,-12353000000.0
ChangeInReceivables,415000000.0
ChangesInAccountReceivables,-37000000.0
OtherNonCashItems,2129000000.0
StockBasedCompensation,407000000.0
AssetImpairmentCharge,112000000.0
DepreciationAmortizationDepletion,1836000000.0
DepreciationAndAmortization,1836000000.0
OperatingGainsLosses,4033000000.0
GainLossOnInvestmentSecurities,4079000000.0
NetIncomeFromContinuingOperations,-11829000000.0
