,2023-12-31
TaxEffectOfUnusualItems,10080000.0
TaxRateForCalcs,0.21
NormalizedEBITDA,2267000000.0
TotalUnusualItems,48000000.0
TotalUnusualItemsExcludingGoodwill,48000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-2222000000.0
ReconciledDepreciation,1861000000.0
ReconciledCostOfRevenue,70070000000.0
EBITDA,2315000000.0
EBIT,454000000.0
NetInterestIncome,-2459000000.0
InterestExpense,2459000000.0
NormalizedIncome,-2259920000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-2222000000.0
TotalExpenses,78615000000.0
TotalOperatingIncomeAsReported,-773000000.0
DilutedAverageShares,605800000.0
BasicAverageShares,605800000.0
DilutedEPS,-3.67
BasicEPS,-3.67
DilutedNIAvailtoComStockholders,-2222000000.0
NetIncomeCommonStockholders,-2222000000.0
PreferredStockDividends,
NetIncome,-2222000000.0
MinorityInterests,20000000.0
NetIncomeIncludingNoncontrollingInterests,-2242000000.0
NetIncomeContinuousOperations,-2242000000.0
TaxProvision,237000000.0
PretaxIncome,-2005000000.0
OtherIncomeExpense,1275000000.0
OtherNonOperatingIncomeExpenses,1227000000.0
SpecialIncomeCharges,2000000.0
GainOnSaleOfPPE,2000000.0
GainOnSaleOfSecurity,46000000.0
NetNonOperatingInterestIncomeExpense,-2459000000.0
InterestExpenseNonOperating,2459000000.0
OperatingIncome,-821000000.0
OperatingExpense,8545000000.0
ResearchAndDevelopment,3377000000.0
SellingGeneralAndAdministration,5168000000.0
GeneralAndAdministrativeExpense,5168000000.0
OtherGandA,5168000000.0
GrossProfit,7724000000.0
CostOfRevenue,70070000000.0
TotalRevenue,77794000000.0
OperatingRevenue,77794000000.0
