,2024-12-31
TaxEffectOfUnusualItems,3627000.0
TaxRateForCalcs,0.031
NormalizedEBITDA,-7766000000.0
TotalUnusualItems,117000000.0
TotalUnusualItemsExcludingGoodwill,117000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-11817000000.0
ReconciledDepreciation,1836000000.0
ReconciledCostOfRevenue,68508000000.0
EBITDA,-7649000000.0
EBIT,-9485000000.0
NetInterestIncome,-2725000000.0
InterestExpense,2725000000.0
NormalizedIncome,-11930373000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-11817000000.0
TotalExpenses,77341000000.0
TotalOperatingIncomeAsReported,-10707000000.0
DilutedAverageShares,646900000.0
BasicAverageShares,646900000.0
DilutedEPS,-18.36
BasicEPS,-18.36
DilutedNIAvailtoComStockholders,-11875000000.0
NetIncomeCommonStockholders,-11875000000.0
PreferredStockDividends,58000000.0
NetIncome,-11817000000.0
MinorityInterests,12000000.0
NetIncomeIncludingNoncontrollingInterests,-11829000000.0
NetIncomeContinuousOperations,-11829000000.0
TaxProvision,-381000000.0
PretaxIncome,-12210000000.0
OtherIncomeExpense,1339000000.0
OtherNonOperatingIncomeExpenses,1222000000.0
SpecialIncomeCharges,46000000.0
GainOnSaleOfPPE,46000000.0
GainOnSaleOfSecurity,71000000.0
NetNonOperatingInterestIncomeExpense,-2725000000.0
InterestExpenseNonOperating,2725000000.0
OperatingIncome,-10824000000.0
OperatingExpense,8833000000.0
ResearchAndDevelopment,3812000000.0
SellingGeneralAndAdministration,5021000000.0
GeneralAndAdministrativeExpense,5021000000.0
OtherGandA,5021000000.0
GrossProfit,-1991000000.0
CostOfRevenue,68508000000.0
TotalRevenue,66517000000.0
OperatingRevenue,66517000000.0
