,2024-12-31
TreasurySharesNumber,336962600.0
OrdinarySharesNumber,477932024.0
ShareIssued,814894624.0
NetDebt,31623000000.0
TotalDebt,38409000000.0
TangibleBookValue,13851000000.0
InvestedCapital,58003000000.0
WorkingCapital,13410000000.0
NetTangibleAssets,13851000000.0
CapitalLeaseObligations,-103000000.0
CommonStockEquity,19491000000.0
TotalCapitalization,46945000000.0
TotalEquityGrossMinorityInterest,19494000000.0
MinorityInterest,3000000.0
StockholdersEquity,19491000000.0
GainsLossesNotAffectingRetainedEarnings,-2471000000.0
OtherEquityAdjustments,-2471000000.0
TreasuryStock,44331000000.0
RetainedEarnings,59352000000.0
CapitalStock,6941000000.0
CommonStock,6941000000.0
TotalLiabilitiesNetMinorityInterest,68270000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,35998000000.0
OtherNonCurrentLiabilities,4890000000.0
EmployeeBenefits,3757000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,3757000000.0
LongTermDebtAndCapitalLeaseObligation,27351000000.0
LongTermCapitalLeaseObligation,-103000000.0
LongTermDebt,27454000000.0
CurrentLiabilities,32272000000.0
OtherCurrentLiabilities,2909000000.0
CurrentDeferredLiabilities,2322000000.0
CurrentDeferredRevenue,2322000000.0
CurrentDebtAndCapitalLeaseObligation,11058000000.0
CurrentDebt,11058000000.0
OtherCurrentBorrowings,6665000000.0
CommercialPaper,3946000000.0
CurrentNotesPayable,447000000.0
PayablesAndAccruedExpenses,15983000000.0
CurrentAccruedExpenses,7634000000.0
Payables,8349000000.0
DividendsPayable,674000000.0
AccountsPayable,7675000000.0
TotalAssets,87764000000.0
TotalNonCurrentAssets,42082000000.0
OtherNonCurrentAssets,5302000000.0
NonCurrentDeferredAssets,3312000000.0
NonCurrentDeferredTaxesAssets,3312000000.0
NonCurrentAccountsReceivable,14467000000.0
GoodwillAndOtherIntangibleAssets,5640000000.0
OtherIntangibleAssets,399000000.0
Goodwill,5241000000.0
NetPPE,13361000000.0
AccumulatedDepreciation,-16116000000.0
GrossPPE,29477000000.0
ConstructionInProgress,1751000000.0
OtherProperties,5701000000.0
MachineryFurnitureEquipment,14132000000.0
BuildingsAndImprovements,7281000000.0
LandAndImprovements,612000000.0
Properties,0.0
CurrentAssets,45682000000.0
OtherCurrentAssets,3119000000.0
PrepaidAssets,
Inventory,16827000000.0
FinishedGoods,8329000000.0
WorkInProcess,1438000000.0
RawMaterials,7060000000.0
Receivables,18847000000.0
OtherReceivables,
AccountsReceivable,18847000000.0
CashCashEquivalentsAndShortTermInvestments,6889000000.0
CashAndCashEquivalents,6889000000.0
