,2023-12-31
FreeCashFlow,9793000000.0
RepurchaseOfCapitalStock,-4975000000.0
RepaymentOfDebt,-6318000000.0
IssuanceOfDebt,8257000000.0
IssuanceOfCapitalStock,12000000.0
CapitalExpenditure,-3092000000.0
EndCashPosition,6985000000.0
BeginningCashPosition,7013000000.0
EffectOfExchangeRateChanges,-110000000.0
ChangesInCash,82000000.0
FinancingCashFlow,-6932000000.0
CashFlowFromContinuingFinancingActivities,-6932000000.0
NetOtherFinancingCharges,
CashDividendsPaid,-2563000000.0
CommonStockDividendPaid,-2563000000.0
NetCommonStockIssuance,-4963000000.0
CommonStockPayments,-4975000000.0
CommonStockIssuance,12000000.0
NetIssuancePaymentsOfDebt,594000000.0
NetShortTermDebtIssuance,-1345000000.0
NetLongTermDebtIssuance,1939000000.0
LongTermDebtPayments,-6318000000.0
LongTermDebtIssuance,8257000000.0
InvestingCashFlow,-5871000000.0
CashFlowFromContinuingInvestingActivities,-5871000000.0
NetOtherInvestingChanges,-967000000.0
NetInvestmentPurchaseAndSale,-2589000000.0
SaleOfInvestment,1891000000.0
PurchaseOfInvestment,-4480000000.0
NetBusinessPurchaseAndSale,-4000000.0
SaleOfBusiness,
PurchaseOfBusiness,-4000000.0
NetPPEPurchaseAndSale,781000000.0
SaleOfPPE,781000000.0
PurchaseOfPPE,
CapitalExpenditureReported,-3092000000.0
OperatingCashFlow,12885000000.0
CashFlowFromContinuingOperatingActivities,12885000000.0
ChangeInWorkingCapital,151000000.0
ChangeInOtherWorkingCapital,80000000.0
ChangeInOtherCurrentLiabilities,439000000.0
ChangeInOtherCurrentAssets,-95000000.0
ChangeInPayablesAndAccruedExpense,528000000.0
ChangeInAccruedExpense,1282000000.0
ChangeInPayable,-754000000.0
ChangeInAccountPayable,-754000000.0
ChangeInInventory,-364000000.0
ChangeInReceivables,-437000000.0
OtherNonCashItems,375000000.0
AssetImpairmentCharge,0.0
DeferredTax,-592000000.0
DeferredIncomeTax,-592000000.0
DepreciationAmortizationDepletion,2144000000.0
DepreciationAndAmortization,2144000000.0
OperatingGainsLosses,475000000.0
PensionAndEmployeeBenefitExpense,-97000000.0
GainLossOnSaleOfBusiness,572000000.0
NetIncomeFromContinuingOperations,10332000000.0
