,2024-12-31
TaxEffectOfUnusualItems,21670000.0
TaxRateForCalcs,0.197
NormalizedEBITDA,15928000000.0
TotalUnusualItems,110000000.0
TotalUnusualItemsExcludingGoodwill,110000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10792000000.0
ReconciledDepreciation,2153000000.0
ReconciledCostOfRevenue,41485000000.0
EBITDA,16038000000.0
EBIT,13885000000.0
NetInterestIncome,-30000000.0
InterestExpense,512000000.0
InterestIncome,482000000.0
NormalizedIncome,10703670000.0
NetIncomeFromContinuingAndDiscontinuedOperation,10792000000.0
TotalExpenses,51737000000.0
TotalOperatingIncomeAsReported,13072000000.0
DilutedAverageShares,489400000.0
BasicAverageShares,486700000.0
DilutedEPS,22.05
BasicEPS,22.17
DilutedNIAvailtoComStockholders,10792000000.0
NetIncomeCommonStockholders,10792000000.0
NetIncome,10792000000.0
MinorityInterests,4000000.0
NetIncomeIncludingNoncontrollingInterests,10788000000.0
NetIncomeContinuousOperations,10788000000.0
EarningsFromEquityInterestNetOfTax,44000000.0
TaxProvision,2629000000.0
PretaxIncome,13373000000.0
OtherIncomeExpense,331000000.0
OtherNonOperatingIncomeExpenses,221000000.0
SpecialIncomeCharges,0.0
ImpairmentOfCapitalAssets,0.0
GainOnSaleOfSecurity,110000000.0
NetNonOperatingInterestIncomeExpense,-30000000.0
InterestExpenseNonOperating,512000000.0
InterestIncomeNonOperating,482000000.0
OperatingIncome,13072000000.0
OperatingExpense,10252000000.0
OtherOperatingExpenses,1478000000.0
ResearchAndDevelopment,2107000000.0
SellingGeneralAndAdministration,6667000000.0
GrossProfit,23324000000.0
CostOfRevenue,41485000000.0
TotalRevenue,64809000000.0
OperatingRevenue,64809000000.0
