,2023-01-31
FreeCashFlow,6313000000.0
RepurchaseOfCapitalStock,-4000000000.0
RepaymentOfDebt,-423000000.0
IssuanceOfDebt,0.0
CapitalExpenditure,-798000000.0
InterestPaidSupplementalData,275000000.0
IncomeTaxPaidSupplementalData,510000000.0
EndCashPosition,7016000000.0
BeginningCashPosition,5464000000.0
EffectOfExchangeRateChanges,-8000000.0
ChangesInCash,1560000000.0
FinancingCashFlow,-3562000000.0
CashFlowFromContinuingFinancingActivities,-3562000000.0
NetOtherFinancingCharges,
ProceedsFromStockOptionExercised,861000000.0
NetCommonStockIssuance,-4000000000.0
CommonStockPayments,-4000000000.0
NetIssuancePaymentsOfDebt,-423000000.0
NetLongTermDebtIssuance,-423000000.0
LongTermDebtPayments,-423000000.0
LongTermDebtIssuance,0.0
InvestingCashFlow,-1989000000.0
CashFlowFromContinuingInvestingActivities,-1989000000.0
NetInvestmentPurchaseAndSale,-752000000.0
SaleOfInvestment,4575000000.0
PurchaseOfInvestment,-5327000000.0
NetBusinessPurchaseAndSale,-439000000.0
PurchaseOfBusiness,-439000000.0
CapitalExpenditureReported,-798000000.0
OperatingCashFlow,7111000000.0
CashFlowFromContinuingOperatingActivities,7111000000.0
ChangeInWorkingCapital,-2069000000.0
ChangeInOtherWorkingCapital,-601000000.0
ChangeInOtherCurrentLiabilities,-699000000.0
ChangeInPayablesAndAccruedExpense,528000000.0
ChangeInPayable,528000000.0
ChangeInAccountPayable,528000000.0
ChangeInPrepaidAssets,-302000000.0
ChangeInReceivables,-995000000.0
ChangesInAccountReceivables,-995000000.0
OtherNonCashItems,1668000000.0
StockBasedCompensation,3279000000.0
DeferredTax,0.0
DeferredIncomeTax,0.0
DepreciationAmortizationDepletion,3786000000.0
DepreciationAndAmortization,3786000000.0
OperatingGainsLosses,239000000.0
GainLossOnInvestmentSecurities,239000000.0
GainLossOnSaleOfBusiness,
NetIncomeFromContinuingOperations,208000000.0
