,2023-01-31
TaxEffectOfUnusualItems,-224070000.0
TaxRateForCalcs,0.21
NormalizedEBITDA,6711000000.0
TotalUnusualItems,-1067000000.0
TotalUnusualItemsExcludingGoodwill,-1067000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,208000000.0
ReconciledDepreciation,3786000000.0
ReconciledCostOfRevenue,8360000000.0
EBITDA,5644000000.0
EBIT,1858000000.0
NormalizedIncome,1050930000.0
NetIncomeFromContinuingAndDiscontinuedOperation,208000000.0
TotalExpenses,29494000000.0
TotalOperatingIncomeAsReported,1030000000.0
DilutedAverageShares,997000000.0
BasicAverageShares,992000000.0
DilutedEPS,0.21
BasicEPS,0.21
DilutedNIAvailtoComStockholders,208000000.0
NetIncomeCommonStockholders,208000000.0
NetIncome,208000000.0
NetIncomeIncludingNoncontrollingInterests,208000000.0
NetIncomeContinuousOperations,208000000.0
TaxProvision,452000000.0
PretaxIncome,660000000.0
OtherIncomeExpense,-1198000000.0
OtherNonOperatingIncomeExpenses,-131000000.0
SpecialIncomeCharges,-1319000000.0
WriteOff,491000000.0
RestructuringAndMergernAcquisition,828000000.0
GainOnSaleOfSecurity,252000000.0
OperatingIncome,1858000000.0
OperatingExpense,21134000000.0
DepreciationAmortizationDepletionIncomeStatement,916000000.0
DepreciationAndAmortizationInIncomeStatement,916000000.0
Amortization,916000000.0
AmortizationOfIntangiblesIncomeStatement,916000000.0
ResearchAndDevelopment,5055000000.0
SellingGeneralAndAdministration,16079000000.0
SellingAndMarketingExpense,13526000000.0
GeneralAndAdministrativeExpense,2553000000.0
OtherGandA,2553000000.0
SalariesAndWages,1256000000.0
GrossProfit,22992000000.0
CostOfRevenue,8360000000.0
TotalRevenue,31352000000.0
OperatingRevenue,31352000000.0
