,2023-07-31
OrdinarySharesNumber,4066000000.0
ShareIssued,4066000000.0
NetDebt,
TotalDebt,8391000000.0
TangibleBookValue,4000000000.0
InvestedCapital,52744000000.0
WorkingCapital,12039000000.0
NetTangibleAssets,4000000000.0
CommonStockEquity,44353000000.0
TotalCapitalization,51011000000.0
TotalEquityGrossMinorityInterest,44353000000.0
StockholdersEquity,44353000000.0
GainsLossesNotAffectingRetainedEarnings,-1575000000.0
OtherEquityAdjustments,-1575000000.0
RetainedEarnings,1639000000.0
CapitalStock,44289000000.0
CommonStock,44289000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,57499000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,26190000000.0
OtherNonCurrentLiabilities,2134000000.0
TradeandOtherPayablesNonCurrent,5756000000.0
NonCurrentDeferredLiabilities,11642000000.0
NonCurrentDeferredRevenue,11642000000.0
LongTermDebtAndCapitalLeaseObligation,6658000000.0
LongTermDebt,6658000000.0
CurrentLiabilities,31309000000.0
OtherCurrentLiabilities,5136000000.0
CurrentDeferredLiabilities,13908000000.0
CurrentDeferredRevenue,13908000000.0
CurrentDebtAndCapitalLeaseObligation,1733000000.0
CurrentDebt,1733000000.0
OtherCurrentBorrowings,1733000000.0
CommercialPaper,0.0
PensionandOtherPostRetirementBenefitPlansCurrent,3984000000.0
PayablesAndAccruedExpenses,6548000000.0
Payables,6548000000.0
TotalTaxPayable,4235000000.0
IncomeTaxPayable,4235000000.0
AccountsPayable,2313000000.0
TotalAssets,101852000000.0
TotalNonCurrentAssets,58504000000.0
OtherNonCurrentAssets,6007000000.0
NonCurrentDeferredAssets,6576000000.0
NonCurrentDeferredTaxesAssets,6576000000.0
NonCurrentNoteReceivables,2869000000.0
NonCurrentAccountsReceivable,614000000.0
GoodwillAndOtherIntangibleAssets,40353000000.0
OtherIntangibleAssets,1818000000.0
Goodwill,38535000000.0
NetPPE,2085000000.0
AccumulatedDepreciation,-7973000000.0
GrossPPE,10058000000.0
OtherProperties,135000000.0
MachineryFurnitureEquipment,5694000000.0
Properties,4229000000.0
CurrentAssets,43348000000.0
OtherCurrentAssets,4352000000.0
Inventory,3644000000.0
OtherInventories,16000000.0
FinishedGoods,1493000000.0
WorkInProcess,264000000.0
RawMaterials,1871000000.0
Receivables,9206000000.0
OtherReceivables,364000000.0
LoansReceivable,2988000000.0
AccountsReceivable,5854000000.0
AllowanceForDoubtfulAccountsReceivable,-85000000.0
GrossAccountsReceivable,5939000000.0
CashCashEquivalentsAndShortTermInvestments,26146000000.0
OtherShortTermInvestments,16023000000.0
CashAndCashEquivalents,10123000000.0
