,2023-07-31
TaxEffectOfUnusualItems,-125316000.0
TaxRateForCalcs,0.177
NormalizedEBITDA,18179000000.0
TotalUnusualItems,-708000000.0
TotalUnusualItemsExcludingGoodwill,-708000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,12613000000.0
ReconciledDepreciation,1726000000.0
ReconciledCostOfRevenue,19801000000.0
EBITDA,17471000000.0
EBIT,15745000000.0
NetInterestIncome,535000000.0
InterestExpense,427000000.0
InterestIncome,962000000.0
NormalizedIncome,13195684000.0
NetIncomeFromContinuingAndDiscontinuedOperation,12613000000.0
TotalExpenses,41436000000.0
TotalOperatingIncomeAsReported,15031000000.0
DilutedAverageShares,4105000000.0
BasicAverageShares,4093000000.0
DilutedEPS,3.07
BasicEPS,3.08
DilutedNIAvailtoComStockholders,12613000000.0
NetIncomeCommonStockholders,12613000000.0
NetIncome,12613000000.0
NetIncomeIncludingNoncontrollingInterests,12613000000.0
NetIncomeContinuousOperations,12613000000.0
TaxProvision,2705000000.0
PretaxIncome,15318000000.0
OtherIncomeExpense,-779000000.0
OtherNonOperatingIncomeExpenses,-71000000.0
SpecialIncomeCharges,-531000000.0
RestructuringAndMergernAcquisition,531000000.0
GainOnSaleOfSecurity,-177000000.0
NetNonOperatingInterestIncomeExpense,535000000.0
InterestExpenseNonOperating,427000000.0
InterestIncomeNonOperating,962000000.0
OperatingIncome,15562000000.0
OperatingExpense,20191000000.0
DepreciationAmortizationDepletionIncomeStatement,282000000.0
DepreciationAndAmortizationInIncomeStatement,282000000.0
Amortization,282000000.0
AmortizationOfIntangiblesIncomeStatement,282000000.0
ResearchAndDevelopment,7551000000.0
SellingGeneralAndAdministration,12358000000.0
SellingAndMarketingExpense,9880000000.0
GeneralAndAdministrativeExpense,2478000000.0
OtherGandA,2478000000.0
GrossProfit,35753000000.0
CostOfRevenue,21245000000.0
TotalRevenue,56998000000.0
OperatingRevenue,56998000000.0
