,2023-12-31
TreasurySharesNumber,591196776.0
OrdinarySharesNumber,1851479804.0
ShareIssued,2442676580.0
NetDebt,12024000000.0
TotalDebt,20836000000.0
TangibleBookValue,156235000000.0
InvestedCapital,181159000000.0
WorkingCapital,8870000000.0
NetTangibleAssets,156235000000.0
CapitalLeaseObligations,634000000.0
CommonStockEquity,160957000000.0
TotalCapitalization,180690000000.0
TotalEquityGrossMinorityInterest,161929000000.0
MinorityInterest,972000000.0
StockholdersEquity,160957000000.0
GainsLossesNotAffectingRetainedEarnings,-3200000000.0
OtherEquityAdjustments,5000000.0
ForeignCurrencyTranslationAdjustments,-192000000.0
MinimumPensionLiabilities,-3002000000.0
UnrealizedGainLoss,-11000000.0
TreasuryStock,59065000000.0
RetainedEarnings,200025000000.0
AdditionalPaidInCapital,21365000000.0
CapitalStock,1832000000.0
CommonStock,1832000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,99703000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,67445000000.0
OtherNonCurrentLiabilities,24226000000.0
EmployeeBenefits,4082000000.0
NonCurrentDeferredLiabilities,18830000000.0
NonCurrentDeferredRevenue,
NonCurrentDeferredTaxesLiabilities,18830000000.0
LongTermDebtAndCapitalLeaseObligation,20307000000.0
LongTermCapitalLeaseObligation,574000000.0
LongTermDebt,19733000000.0
CurrentLiabilities,32258000000.0
CurrentDebtAndCapitalLeaseObligation,529000000.0
CurrentCapitalLeaseObligation,60000000.0
CurrentDebt,469000000.0
OtherCurrentBorrowings,469000000.0
PayablesAndAccruedExpenses,31729000000.0
CurrentAccruedExpenses,7655000000.0
Payables,24074000000.0
TotalTaxPayable,3651000000.0
IncomeTaxPayable,1863000000.0
AccountsPayable,20423000000.0
TotalAssets,261632000000.0
TotalNonCurrentAssets,220504000000.0
OtherNonCurrentAssets,14409000000.0
NonCurrentDeferredAssets,
NonCurrentAccountsReceivable,942000000.0
InvestmentsAndAdvances,46812000000.0
GoodwillAndOtherIntangibleAssets,4722000000.0
Goodwill,4722000000.0
NetPPE,153619000000.0
AccumulatedDepreciation,-192462000000.0
GrossPPE,346081000000.0
CurrentAssets,41128000000.0
OtherCurrentAssets,4372000000.0
PrepaidAssets,
Inventory,8612000000.0
FinishedGoods,6465000000.0
RawMaterials,2147000000.0
Receivables,19921000000.0
AccountsReceivable,19921000000.0
AllowanceForDoubtfulAccountsReceivable,-301000000.0
GrossAccountsReceivable,20222000000.0
CashCashEquivalentsAndShortTermInvestments,8223000000.0
OtherShortTermInvestments,45000000.0
CashAndCashEquivalents,8178000000.0
