,2023-12-31
FreeCashFlow,19780000000.0
RepurchaseOfCapitalStock,-14939000000.0
RepaymentOfDebt,-4340000000.0
IssuanceOfDebt,285000000.0
CapitalExpenditure,-15829000000.0
InterestPaidSupplementalData,465000000.0
IncomeTaxPaidSupplementalData,10416000000.0
EndCashPosition,9275000000.0
BeginningCashPosition,19121000000.0
EffectOfExchangeRateChanges,-114000000.0
ChangesInCash,-9732000000.0
FinancingCashFlow,-30109000000.0
CashFlowFromContinuingFinancingActivities,-30109000000.0
NetOtherFinancingCharges,-40000000.0
ProceedsFromStockOptionExercised,261000000.0
CashDividendsPaid,-11336000000.0
CommonStockDividendPaid,-11336000000.0
NetCommonStockIssuance,-14939000000.0
CommonStockPayments,-14939000000.0
NetIssuancePaymentsOfDebt,-4055000000.0
NetShortTermDebtIssuance,135000000.0
ShortTermDebtPayments,0.0
ShortTermDebtIssuance,135000000.0
NetLongTermDebtIssuance,-4190000000.0
LongTermDebtPayments,-4340000000.0
LongTermDebtIssuance,150000000.0
InvestingCashFlow,-15232000000.0
CashFlowFromContinuingInvestingActivities,-15232000000.0
NetOtherInvestingChanges,144000000.0
NetInvestmentPurchaseAndSale,175000000.0
SaleOfInvestment,464000000.0
PurchaseOfInvestment,-289000000.0
NetBusinessPurchaseAndSale,278000000.0
SaleOfBusiness,278000000.0
PurchaseOfBusiness,
CapitalExpenditureReported,-15829000000.0
OperatingCashFlow,35609000000.0
CashFlowFromContinuingOperatingActivities,35609000000.0
DividendReceivedCFO,4246000000.0
ChangeInWorkingCapital,-3335000000.0
ChangeInOtherWorkingCapital,-300000000.0
ChangeInPayablesAndAccruedExpense,-2850000000.0
ChangeInPayable,-2850000000.0
ChangeInAccountPayable,-49000000.0
ChangeInTaxPayable,-2801000000.0
ChangeInIncomeTaxPayable,-2801000000.0
ChangeInPrepaidAssets,-1202000000.0
ChangeInInventory,-320000000.0
ChangeInReceivables,1337000000.0
ChangesInAccountReceivables,1187000000.0
OtherNonCashItems,373000000.0
AssetImpairmentCharge,2180000000.0
DeferredTax,298000000.0
DeferredIncomeTax,298000000.0
DepreciationAmortizationDepletion,14989000000.0
Depletion,436000000.0
DepreciationAndAmortization,14553000000.0
Depreciation,14553000000.0
OperatingGainsLosses,-4553000000.0
EarningsLossesFromEquityInvestments,-5131000000.0
GainLossOnInvestmentSecurities,
NetForeignCurrencyExchangeGainLoss,578000000.0
NetIncomeFromContinuingOperations,21411000000.0
