,2023-12-31
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.276
NormalizedEBITDA,45042000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,21369000000.0
ReconciledDepreciation,14989000000.0
ReconciledCostOfRevenue,136522000000.0
EBITDA,45042000000.0
EBIT,30053000000.0
NetInterestIncome,-469000000.0
InterestExpense,469000000.0
NormalizedIncome,21369000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,21369000000.0
TotalExpenses,170684000000.0
DilutedAverageShares,1880307000.0
BasicAverageShares,1872737000.0
DilutedEPS,11.36
BasicEPS,11.41
DilutedNIAvailtoComStockholders,21369000000.0
NetIncomeCommonStockholders,21369000000.0
NetIncome,21369000000.0
MinorityInterests,-42000000.0
NetIncomeIncludingNoncontrollingInterests,21411000000.0
NetIncomeContinuousOperations,21411000000.0
TaxProvision,8173000000.0
PretaxIncome,29584000000.0
OtherIncomeExpense,3824000000.0
OtherNonOperatingIncomeExpenses,-1307000000.0
EarningsFromEquityInterest,5131000000.0
NetNonOperatingInterestIncomeExpense,-469000000.0
InterestExpenseNonOperating,469000000.0
OperatingIncome,26229000000.0
OperatingExpense,34162000000.0
OtherOperatingExpenses,25801000000.0
OtherTaxes,4220000000.0
SellingGeneralAndAdministration,4141000000.0
GrossProfit,60391000000.0
CostOfRevenue,136522000000.0
TotalRevenue,196913000000.0
OperatingRevenue,196913000000.0
