,2023-09-30
TreasurySharesNumber,19000000.0
OrdinarySharesNumber,1830000000.0
ShareIssued,1849000000.0
NetDebt,32249000000.0
TotalDebt,49895000000.0
TangibleBookValue,9149000000.0
InvestedCapital,145708000000.0
WorkingCapital,1624000000.0
NetTangibleAssets,9149000000.0
CapitalLeaseObligations,3464000000.0
CommonStockEquity,99277000000.0
TotalCapitalization,141378000000.0
TotalEquityGrossMinorityInterest,113012000000.0
MinorityInterest,13735000000.0
StockholdersEquity,99277000000.0
GainsLossesNotAffectingRetainedEarnings,-3292000000.0
OtherEquityAdjustments,-3292000000.0
TreasuryStock,907000000.0
RetainedEarnings,46093000000.0
CapitalStock,57383000000.0
CommonStock,57383000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,92567000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,61428000000.0
OtherNonCurrentLiabilities,8605000000.0
PreferredSecuritiesOutsideStockEquity,
EmployeeBenefits,
NonCurrentPensionAndOtherPostretirementBenefitPlans,
NonCurrentDeferredLiabilities,7258000000.0
NonCurrentDeferredTaxesLiabilities,7258000000.0
LongTermDebtAndCapitalLeaseObligation,45565000000.0
LongTermCapitalLeaseObligation,3464000000.0
LongTermDebt,42101000000.0
CurrentLiabilities,31139000000.0
OtherCurrentLiabilities,6138000000.0
CurrentDeferredLiabilities,6138000000.0
CurrentDeferredRevenue,6138000000.0
CurrentDebtAndCapitalLeaseObligation,4330000000.0
CurrentDebt,4330000000.0
PayablesAndAccruedExpenses,20671000000.0
CurrentAccruedExpenses,3270000000.0
Payables,17401000000.0
TotalTaxPayable,2276000000.0
IncomeTaxPayable,2276000000.0
AccountsPayable,15125000000.0
TotalAssets,205579000000.0
TotalNonCurrentAssets,172816000000.0
OtherNonCurrentAssets,11076000000.0
NonCurrentDeferredAssets,33591000000.0
InvestmentsAndAdvances,3080000000.0
InvestmentinFinancialAssets,392000000.0
LongTermEquityInvestment,2688000000.0
GoodwillAndOtherIntangibleAssets,90128000000.0
OtherIntangibleAssets,13061000000.0
Goodwill,77067000000.0
NetPPE,34941000000.0
AccumulatedDepreciation,-42610000000.0
GrossPPE,77551000000.0
Leases,1058000000.0
ConstructionInProgress,6285000000.0
OtherProperties,35255000000.0
MachineryFurnitureEquipment,26358000000.0
BuildingsAndImprovements,
LandAndImprovements,8595000000.0
Properties,0.0
CurrentAssets,32763000000.0
OtherCurrentAssets,1286000000.0
PrepaidAssets,3002000000.0
Inventory,1963000000.0
Receivables,12330000000.0
ReceivablesAdjustmentsAllowances,-115000000.0
OtherReceivables,1014000000.0
TaxesReceivable,1252000000.0
AccountsReceivable,10179000000.0
CashCashEquivalentsAndShortTermInvestments,14182000000.0
CashAndCashEquivalents,14182000000.0
