,2023-09-30
FreeCashFlow,4897000000.0
RepurchaseOfCapitalStock,0.0
RepaymentOfDebt,-1675000000.0
IssuanceOfDebt,83000000.0
CapitalExpenditure,-4969000000.0
InterestPaidSupplementalData,2110000000.0
IncomeTaxPaidSupplementalData,1193000000.0
EndCashPosition,14235000000.0
BeginningCashPosition,11661000000.0
EffectOfExchangeRateChanges,73000000.0
ChangesInCash,2501000000.0
CashFlowFromDiscontinuedOperation,
FinancingCashFlow,-2724000000.0
CashFromDiscontinuedFinancingActivities,0.0
CashFlowFromContinuingFinancingActivities,-2724000000.0
NetOtherFinancingCharges,-941000000.0
ProceedsFromStockOptionExercised,52000000.0
CashDividendsPaid,0.0
CommonStockDividendPaid,0.0
NetCommonStockIssuance,0.0
CommonStockPayments,0.0
NetIssuancePaymentsOfDebt,-1783000000.0
NetShortTermDebtIssuance,-191000000.0
NetLongTermDebtIssuance,-1592000000.0
LongTermDebtPayments,-1675000000.0
LongTermDebtIssuance,83000000.0
InvestingCashFlow,-4641000000.0
CashFromDiscontinuedInvestingActivities,0.0
CashFlowFromContinuingInvestingActivities,-4641000000.0
NetOtherInvestingChanges,-130000000.0
NetInvestmentPurchaseAndSale,458000000.0
SaleOfInvestment,458000000.0
PurchaseOfInvestment,0.0
NetBusinessPurchaseAndSale,
PurchaseOfBusiness,
NetPPEPurchaseAndSale,-4969000000.0
PurchaseOfPPE,-4969000000.0
OperatingCashFlow,9866000000.0
CashFromDiscontinuedOperatingActivities,0.0
CashFlowFromContinuingOperatingActivities,9866000000.0
DividendReceivedCFO,720000000.0
ChangeInWorkingCapital,177000000.0
ChangeInOtherWorkingCapital,1345000000.0
ChangeInOtherCurrentAssets,-201000000.0
ChangeInPayablesAndAccruedExpense,-1142000000.0
ChangeInPayable,-1142000000.0
ChangeInAccountPayable,-1142000000.0
ChangeInInventory,-183000000.0
ChangeInReceivables,358000000.0
OtherNonCashItems,-1771000000.0
StockBasedCompensation,1143000000.0
AssetImpairmentCharge,3128000000.0
DeferredTax,-1346000000.0
DeferredIncomeTax,-1346000000.0
DepreciationAmortizationDepletion,5369000000.0
DepreciationAndAmortization,5369000000.0
AmortizationCashFlow,3626000000.0
AmortizationOfIntangibles,3626000000.0
Depreciation,1743000000.0
OperatingGainsLosses,-944000000.0
PensionAndEmployeeBenefitExpense,4000000.0
EarningsLossesFromEquityInvestments,-782000000.0
GainLossOnInvestmentSecurities,-166000000.0
NetIncomeFromContinuingOperations,3390000000.0
