,2023-09-30
TaxEffectOfUnusualItems,-1105136000.0
TaxRateForCalcs,0.289
NormalizedEBITDA,15935000000.0
TotalUnusualItems,-3824000000.0
TotalUnusualItemsExcludingGoodwill,-3824000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,2354000000.0
ReconciledDepreciation,5369000000.0
ReconciledCostOfRevenue,59201000000.0
EBITDA,12111000000.0
EBIT,6742000000.0
NetInterestIncome,-1209000000.0
InterestExpense,1973000000.0
InterestIncome,424000000.0
NormalizedIncome,5072864000.0
NetIncomeFromContinuingAndDiscontinuedOperation,2354000000.0
TotalExpenses,79906000000.0
DilutedAverageShares,1830000000.0
BasicAverageShares,1828000000.0
DilutedEPS,1.29
BasicEPS,1.29
DilutedNIAvailtoComStockholders,2354000000.0
NetIncomeCommonStockholders,2354000000.0
NetIncome,2354000000.0
MinorityInterests,-1036000000.0
NetIncomeIncludingNoncontrollingInterests,3390000000.0
NetIncomeDiscontinuousOperations,0.0
NetIncomeContinuousOperations,3390000000.0
TaxProvision,1379000000.0
PretaxIncome,4769000000.0
OtherIncomeExpense,-3014000000.0
OtherNonOperatingIncomeExpenses,28000000.0
SpecialIncomeCharges,-3993000000.0
GainOnSaleOfBusiness,
OtherSpecialCharges,101000000.0
RestructuringAndMergernAcquisition,3892000000.0
EarningsFromEquityInterest,782000000.0
GainOnSaleOfSecurity,169000000.0
NetNonOperatingInterestIncomeExpense,-1209000000.0
TotalOtherFinanceCost,-340000000.0
InterestExpenseNonOperating,1973000000.0
InterestIncomeNonOperating,424000000.0
OperatingIncome,8992000000.0
OperatingExpense,20705000000.0
DepreciationAmortizationDepletionIncomeStatement,5369000000.0
DepreciationAndAmortizationInIncomeStatement,5369000000.0
SellingGeneralAndAdministration,15336000000.0
GrossProfit,29697000000.0
CostOfRevenue,59201000000.0
TotalRevenue,88898000000.0
OperatingRevenue,88898000000.0
