,2023-12-31
TreasurySharesNumber,599518678.0
PreferredSharesNumber,91998000.0
OrdinarySharesNumber,323376354.0
ShareIssued,922895032.0
NetDebt,89439000000.0
TotalDebt,333248000000.0
TangibleBookValue,98609000000.0
InvestedCapital,436718000000.0
NetTangibleAssets,109812000000.0
CapitalLeaseObligations,2232000000.0
CommonStockEquity,105702000000.0
PreferredStockEquity,11203000000.0
TotalCapitalization,364772000000.0
TotalEquityGrossMinorityInterest,116905000000.0
StockholdersEquity,116905000000.0
OtherEquityInterest,5121000000.0
GainsLossesNotAffectingRetainedEarnings,-2918000000.0
TreasuryStock,100445000000.0
RetainedEarnings,143688000000.0
AdditionalPaidInCapital,60247000000.0
CapitalStock,11212000000.0
CommonStock,9000000.0
PreferredStock,11203000000.0
TotalLiabilitiesNetMinorityInterest,1524689000000.0
PreferredSecuritiesOutsideStockEquity,363000000.0
DerivativeProductLiabilities,56754000000.0
EmployeeBenefits,7823000000.0
LongTermDebtAndCapitalLeaseObligation,250099000000.0
LongTermCapitalLeaseObligation,2232000000.0
LongTermDebt,247867000000.0
CurrentDebtAndCapitalLeaseObligation,83149000000.0
CurrentDebt,83149000000.0
OtherCurrentBorrowings,81936000000.0
CommercialPaper,1213000000.0
PayablesAndAccruedExpenses,244113000000.0
CurrentAccruedExpenses,10438000000.0
Payables,233675000000.0
TotalTaxPayable,2947000000.0
IncomeTaxPayable,2947000000.0
AccountsPayable,230728000000.0
TotalAssets,1641594000000.0
InvestmentsAndAdvances,573229000000.0
HeldToMaturitySecurities,56835000000.0
AvailableForSaleSecurities,56069000000.0
TradingSecurities,426390000000.0
LongTermEquityInvestment,762000000.0
GoodwillAndOtherIntangibleAssets,7093000000.0
OtherIntangibleAssets,1177000000.0
Goodwill,5916000000.0
NetPPE,13415000000.0
AccumulatedDepreciation,-13640000000.0
GrossPPE,27055000000.0
OtherProperties,27055000000.0
Receivables,148577000000.0
OtherReceivables,16082000000.0
AccountsReceivable,132495000000.0
OtherShortTermInvestments,33173000000.0
CashAndCashEquivalents,241577000000.0
CashCashEquivalentsAndFederalFundsSold,465382000000.0
