,2023-12-31
FreeCashFlow,-14903000000.0
RepurchaseOfCapitalStock,-6796000000.0
RepaymentOfDebt,-57636000000.0
IssuanceOfDebt,50200000000.0
IssuanceOfCapitalStock,1496000000.0
CapitalExpenditure,-2316000000.0
InterestPaidSupplementalData,60026000000.0
IncomeTaxPaidSupplementalData,2389000000.0
EndCashPosition,241577000000.0
BeginningCashPosition,241825000000.0
EffectOfExchangeRateChanges,1851000000.0
ChangesInCash,-2099000000.0
FinancingCashFlow,27800000000.0
CashFlowFromContinuingFinancingActivities,27800000000.0
NetOtherFinancingCharges,2279000000.0
CashDividendsPaid,-4189000000.0
CommonStockDividendPaid,
NetPreferredStockIssuance,496000000.0
PreferredStockPayments,-1000000000.0
PreferredStockIssuance,1496000000.0
NetCommonStockIssuance,-5796000000.0
CommonStockPayments,-5796000000.0
CommonStockIssuance,
NetIssuancePaymentsOfDebt,-4713000000.0
NetShortTermDebtIssuance,2723000000.0
NetLongTermDebtIssuance,-7436000000.0
LongTermDebtPayments,-57636000000.0
LongTermDebtIssuance,50200000000.0
InvestingCashFlow,-17312000000.0
CashFlowFromContinuingInvestingActivities,-17312000000.0
NetInvestmentPurchaseAndSale,-13408000000.0
SaleOfInvestment,26848000000.0
PurchaseOfInvestment,-40256000000.0
NetBusinessPurchaseAndSale,487000000.0
PurchaseOfBusiness,
NetPPEPurchaseAndSale,962000000.0
SaleOfPPE,3278000000.0
PurchaseOfPPE,-2316000000.0
OperatingCashFlow,-12587000000.0
CashFlowFromContinuingOperatingActivities,-12587000000.0
ChangeInWorkingCapital,-27712000000.0
ChangeInOtherWorkingCapital,-189574000000.0
StockBasedCompensation,2085000000.0
DeferredTax,-1360000000.0
DeferredIncomeTax,-1360000000.0
DepreciationAmortizationDepletion,4856000000.0
DepreciationAndAmortization,4856000000.0
OperatingGainsLosses,
NetIncomeFromContinuingOperations,8516000000.0
