,2023-12-31
TaxEffectOfUnusualItems,-350451000.0
TaxRateForCalcs,0.207
TotalUnusualItems,-1693000000.0
TotalUnusualItemsExcludingGoodwill,-1693000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,8516000000.0
ReconciledDepreciation,4856000000.0
NetInterestIncome,6351000000.0
InterestExpense,62164000000.0
InterestIncome,68515000000.0
NormalizedIncome,9858549000.0
NetIncomeFromContinuingAndDiscontinuedOperation,8516000000.0
DilutedAverageShares,345800000.0
BasicAverageShares,340800000.0
DilutedEPS,22.87
BasicEPS,23.05
DilutedNIAvailtoComStockholders,7907000000.0
NetIncomeCommonStockholders,7907000000.0
PreferredStockDividends,609000000.0
NetIncome,8516000000.0
NetIncomeIncludingNoncontrollingInterests,8516000000.0
NetIncomeContinuousOperations,8516000000.0
TaxProvision,2223000000.0
PretaxIncome,10739000000.0
SpecialIncomeCharges,-1693000000.0
OtherSpecialCharges,115000000.0
ImpairmentOfCapitalAssets,1578000000.0
GainOnSaleOfSecurity,0.0
DepreciationAmortizationDepletionIncomeStatement,4856000000.0
DepreciationAndAmortizationInIncomeStatement,4856000000.0
SellingGeneralAndAdministration,16128000000.0
SellingAndMarketingExpense,629000000.0
GeneralAndAdministrativeExpense,15499000000.0
OtherGandA,
SalariesAndWages,15499000000.0
TotalRevenue,46254000000.0
OperatingRevenue,46254000000.0
OccupancyAndEquipment,1053000000.0
ProfessionalExpenseAndContractServicesExpense,1623000000.0
OtherNonInterestExpense,9134000000.0
