,2023-01-31
TreasurySharesNumber,778000000.0
OrdinarySharesNumber,1016000000.0
ShareIssued,1794000000.0
NetDebt,40436000000.0
TotalDebt,50364000000.0
TangibleBookValue,-5882000000.0
InvestedCapital,44755000000.0
WorkingCapital,9361000000.0
NetTangibleAssets,-5882000000.0
CapitalLeaseObligations,7171000000.0
CommonStockEquity,1562000000.0
TotalCapitalization,43524000000.0
TotalEquityGrossMinorityInterest,1562000000.0
StockholdersEquity,1562000000.0
GainsLossesNotAffectingRetainedEarnings,-718000000.0
OtherEquityAdjustments,-718000000.0
TreasuryStock,87298000000.0
RetainedEarnings,76896000000.0
AdditionalPaidInCapital,12592000000.0
CapitalStock,90000000.0
CommonStock,90000000.0
TotalLiabilitiesNetMinorityInterest,74883000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,51773000000.0
OtherNonCurrentLiabilities,2566000000.0
NonCurrentDeferredLiabilities,1019000000.0
NonCurrentDeferredTaxesLiabilities,1019000000.0
LongTermDebtAndCapitalLeaseObligation,48188000000.0
LongTermCapitalLeaseObligation,6226000000.0
LongTermDebt,41962000000.0
CurrentLiabilities,23110000000.0
CurrentDeferredLiabilities,3064000000.0
CurrentDeferredRevenue,3064000000.0
CurrentDebtAndCapitalLeaseObligation,2176000000.0
CurrentCapitalLeaseObligation,945000000.0
CurrentDebt,1231000000.0
OtherCurrentBorrowings,1231000000.0
CommercialPaper,0.0
PayablesAndAccruedExpenses,17870000000.0
CurrentAccruedExpenses,5849000000.0
Payables,12021000000.0
TotalTaxPayable,578000000.0
IncomeTaxPayable,50000000.0
AccountsPayable,11443000000.0
TotalAssets,76445000000.0
TotalNonCurrentAssets,43974000000.0
OtherNonCurrentAssets,3958000000.0
NonCurrentDeferredAssets,
NonCurrentDeferredTaxesAssets,
FinancialAssets,
GoodwillAndOtherIntangibleAssets,7444000000.0
OtherIntangibleAssets,3323000000.0
Goodwill,7444000000.0
NetPPE,32572000000.0
AccumulatedDepreciation,-26644000000.0
GrossPPE,59216000000.0
Leases,2130000000.0
ConstructionInProgress,1297000000.0
OtherProperties,11076000000.0
MachineryFurnitureEquipment,16564000000.0
BuildingsAndImprovements,19430000000.0
LandAndImprovements,8719000000.0
Properties,0.0
CurrentAssets,32471000000.0
OtherCurrentAssets,1511000000.0
Inventory,24886000000.0
FinishedGoods,24886000000.0
Receivables,3317000000.0
OtherReceivables,495000000.0
AccountsReceivable,2822000000.0
CashCashEquivalentsAndShortTermInvestments,2757000000.0
CashAndCashEquivalents,2757000000.0
