,2024-01-31
FreeCashFlow,17946000000.0
RepurchaseOfCapitalStock,-7951000000.0
RepaymentOfDebt,-1271000000.0
IssuanceOfDebt,1995000000.0
IssuanceOfCapitalStock,323000000.0
CapitalExpenditure,-3226000000.0
InterestPaidSupplementalData,1809000000.0
IncomeTaxPaidSupplementalData,5023000000.0
EndCashPosition,3760000000.0
BeginningCashPosition,2757000000.0
EffectOfExchangeRateChanges,3000000.0
ChangesInCash,1000000000.0
FinancingCashFlow,-15443000000.0
CashFlowFromContinuingFinancingActivities,-15443000000.0
NetOtherFinancingCharges,-156000000.0
CashDividendsPaid,-8383000000.0
CommonStockDividendPaid,-8383000000.0
NetCommonStockIssuance,-7628000000.0
CommonStockPayments,-7951000000.0
CommonStockIssuance,323000000.0
NetIssuancePaymentsOfDebt,724000000.0
NetShortTermDebtIssuance,0.0
ShortTermDebtPayments,
NetLongTermDebtIssuance,724000000.0
LongTermDebtPayments,-1271000000.0
LongTermDebtIssuance,1995000000.0
InvestingCashFlow,-4729000000.0
CashFlowFromContinuingInvestingActivities,-4729000000.0
NetOtherInvestingChanges,11000000.0
NetBusinessPurchaseAndSale,-1514000000.0
PurchaseOfBusiness,-1514000000.0
CapitalExpenditureReported,-3226000000.0
OperatingCashFlow,21172000000.0
CashFlowFromContinuingOperatingActivities,21172000000.0
ChangeInWorkingCapital,2088000000.0
ChangeInOtherWorkingCapital,-563000000.0
ChangeInOtherCurrentAssets,-184000000.0
ChangeInPayablesAndAccruedExpense,-1436000000.0
ChangeInPayable,-1436000000.0
ChangeInAccountPayable,-1411000000.0
ChangeInTaxPayable,-25000000.0
ChangeInIncomeTaxPayable,-25000000.0
ChangeInInventory,4137000000.0
ChangeInReceivables,134000000.0
OtherNonCashItems,314000000.0
StockBasedCompensation,380000000.0
AssetImpairmentCharge,
DeferredTax,
DeferredIncomeTax,
DepreciationAmortizationDepletion,3247000000.0
DepreciationAndAmortization,3247000000.0
NetIncomeFromContinuingOperations,15143000000.0
