,2023-01-31
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.239
NormalizedEBITDA,27069000000.0
TotalUnusualItems,
TotalUnusualItemsExcludingGoodwill,
NetIncomeFromContinuingOperationNetMinorityInterest,17105000000.0
ReconciledDepreciation,2975000000.0
ReconciledCostOfRevenue,104105000000.0
EBITDA,27069000000.0
EBIT,24094000000.0
NetInterestIncome,-1562000000.0
InterestExpense,1617000000.0
InterestIncome,55000000.0
NormalizedIncome,17105000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,17105000000.0
TotalExpenses,133364000000.0
TotalOperatingIncomeAsReported,24039000000.0
DilutedAverageShares,1025000000.0
BasicAverageShares,1022000000.0
DilutedEPS,16.69
BasicEPS,16.74
DilutedNIAvailtoComStockholders,17105000000.0
NetIncomeCommonStockholders,17105000000.0
NetIncome,17105000000.0
NetIncomeIncludingNoncontrollingInterests,17105000000.0
NetIncomeContinuousOperations,17105000000.0
TaxProvision,5372000000.0
PretaxIncome,22477000000.0
OtherIncomeExpense,1000000.0
OtherNonOperatingIncomeExpenses,1000000.0
SpecialIncomeCharges,
ImpairmentOfCapitalAssets,
NetNonOperatingInterestIncomeExpense,-1562000000.0
InterestExpenseNonOperating,1617000000.0
InterestIncomeNonOperating,55000000.0
OperatingIncome,24039000000.0
OperatingExpense,28739000000.0
DepreciationAmortizationDepletionIncomeStatement,2455000000.0
DepreciationAndAmortizationInIncomeStatement,2455000000.0
SellingGeneralAndAdministration,26284000000.0
GrossProfit,52778000000.0
CostOfRevenue,104625000000.0
TotalRevenue,157403000000.0
OperatingRevenue,157403000000.0
