,2024-01-31
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.24
NormalizedEBITDA,25114000000.0
TotalUnusualItems,
TotalUnusualItemsExcludingGoodwill,
NetIncomeFromContinuingOperationNetMinorityInterest,15143000000.0
ReconciledDepreciation,3247000000.0
ReconciledCostOfRevenue,101135000000.0
EBITDA,25114000000.0
EBIT,21867000000.0
NetInterestIncome,-1765000000.0
InterestExpense,1943000000.0
InterestIncome,178000000.0
NormalizedIncome,15143000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,15143000000.0
TotalExpenses,130980000000.0
TotalOperatingIncomeAsReported,21689000000.0
DilutedAverageShares,1002000000.0
BasicAverageShares,999000000.0
DilutedEPS,15.11
BasicEPS,15.16
DilutedNIAvailtoComStockholders,15143000000.0
NetIncomeCommonStockholders,15143000000.0
NetIncome,15143000000.0
NetIncomeIncludingNoncontrollingInterests,15143000000.0
NetIncomeContinuousOperations,15143000000.0
TaxProvision,4781000000.0
PretaxIncome,19924000000.0
OtherIncomeExpense,-1000000.0
OtherNonOperatingIncomeExpenses,-1000000.0
SpecialIncomeCharges,
ImpairmentOfCapitalAssets,
NetNonOperatingInterestIncomeExpense,-1765000000.0
InterestExpenseNonOperating,1943000000.0
InterestIncomeNonOperating,178000000.0
OperatingIncome,21689000000.0
OperatingExpense,29271000000.0
DepreciationAmortizationDepletionIncomeStatement,2673000000.0
DepreciationAndAmortizationInIncomeStatement,2673000000.0
SellingGeneralAndAdministration,26598000000.0
GrossProfit,50960000000.0
CostOfRevenue,101709000000.0
TotalRevenue,152669000000.0
OperatingRevenue,152669000000.0
