,2024-12-31
FreeCashFlow,4933000000.0
RepurchaseOfCapitalStock,-1655000000.0
RepaymentOfDebt,-13390000000.0
IssuanceOfDebt,24246000000.0
IssuanceOfCapitalStock,537000000.0
CapitalExpenditure,-1164000000.0
InterestPaidSupplementalData,869000000.0
IncomeTaxPaidSupplementalData,1689000000.0
EndCashPosition,10567000000.0
BeginningCashPosition,7925000000.0
EffectOfExchangeRateChanges,-137000000.0
ChangesInCash,2779000000.0
FinancingCashFlow,6839000000.0
CashFlowFromContinuingFinancingActivities,6839000000.0
NetOtherFinancingCharges,3000000.0
CashDividendsPaid,-2902000000.0
CommonStockDividendPaid,-2902000000.0
NetCommonStockIssuance,-1118000000.0
CommonStockPayments,-1655000000.0
CommonStockIssuance,537000000.0
NetIssuancePaymentsOfDebt,10856000000.0
NetShortTermDebtIssuance,2260000000.0
ShortTermDebtPayments,-11578000000.0
ShortTermDebtIssuance,13838000000.0
NetLongTermDebtIssuance,8596000000.0
LongTermDebtPayments,-1812000000.0
LongTermDebtIssuance,10408000000.0
InvestingCashFlow,-10157000000.0
CashFlowFromContinuingInvestingActivities,-10157000000.0
NetOtherInvestingChanges,
NetInvestmentPurchaseAndSale,-113000000.0
SaleOfInvestment,964000000.0
PurchaseOfInvestment,-1077000000.0
NetBusinessPurchaseAndSale,-8880000000.0
SaleOfBusiness,0.0
PurchaseOfBusiness,-8880000000.0
NetPPEPurchaseAndSale,0.0
SaleOfPPE,0.0
PurchaseOfPPE,
CapitalExpenditureReported,-1164000000.0
OperatingCashFlow,6097000000.0
CashFlowFromContinuingOperatingActivities,6097000000.0
ChangeInWorkingCapital,237000000.0
ChangeInOtherCurrentAssets,371000000.0
ChangeInPayablesAndAccruedExpense,266000000.0
ChangeInAccruedExpense,171000000.0
ChangeInPayable,95000000.0
ChangeInAccountPayable,95000000.0
ChangeInInventory,-304000000.0
ChangeInReceivables,-96000000.0
ChangesInAccountReceivables,-96000000.0
OtherNonCashItems,-919000000.0
StockBasedCompensation,194000000.0
AssetImpairmentCharge,219000000.0
DeferredTax,-233000000.0
DeferredIncomeTax,-233000000.0
DepreciationAmortizationDepletion,1334000000.0
DepreciationAndAmortization,1334000000.0
AmortizationCashFlow,663000000.0
AmortizationOfIntangibles,663000000.0
Depreciation,671000000.0
OperatingGainsLosses,-475000000.0
PensionAndEmployeeBenefitExpense,-476000000.0
GainLossOnSaleOfBusiness,1000000.0
NetIncomeFromContinuingOperations,5740000000.0
