,2023-12-31
TreasurySharesNumber,1351897514.0
OrdinarySharesNumber,915013646.0
ShareIssued,2266911160.0
NetDebt,43479000000.0
TotalDebt,59935000000.0
TangibleBookValue,-48681000000.0
InvestedCapital,79080000000.0
WorkingCapital,-1214000000.0
NetTangibleAssets,-48681000000.0
CapitalLeaseObligations,3388000000.0
CommonStockEquity,22533000000.0
TotalCapitalization,72654000000.0
TotalEquityGrossMinorityInterest,22613000000.0
MinorityInterest,80000000.0
StockholdersEquity,22533000000.0
OtherEquityInterest,-1000000.0
GainsLossesNotAffectingRetainedEarnings,-18761000000.0
OtherEquityAdjustments,-18761000000.0
TreasuryStock,169624000000.0
RetainedEarnings,151276000000.0
CapitalStock,59643000000.0
CommonStock,59643000000.0
TotalLiabilitiesNetMinorityInterest,112628000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,78506000000.0
OtherNonCurrentLiabilities,1164000000.0
LiabilitiesHeldforSaleNonCurrent,
DerivativeProductLiabilities,299000000.0
EmployeeBenefits,12553000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,12245000000.0
NonCurrentAccruedExpenses,206000000.0
TradeandOtherPayablesNonCurrent,
NonCurrentDeferredLiabilities,4679000000.0
NonCurrentDeferredRevenue,3533000000.0
NonCurrentDeferredTaxesLiabilities,1146000000.0
LongTermDebtAndCapitalLeaseObligation,52689000000.0
LongTermCapitalLeaseObligation,2568000000.0
LongTermDebt,50121000000.0
LongTermProvisions,6916000000.0
CurrentLiabilities,34122000000.0
OtherCurrentLiabilities,1000000.0
CurrentDeferredLiabilities,13451000000.0
CurrentDeferredRevenue,13451000000.0
CurrentDebtAndCapitalLeaseObligation,7246000000.0
CurrentCapitalLeaseObligation,820000000.0
CurrentDebt,6426000000.0
OtherCurrentBorrowings,6426000000.0
CommercialPaper,
PensionandOtherPostRetirementBenefitPlansCurrent,3501000000.0
PayablesAndAccruedExpenses,9923000000.0
CurrentAccruedExpenses,3521000000.0
Payables,6402000000.0
TotalTaxPayable,2270000000.0
AccountsPayable,4132000000.0
TotalAssets,135241000000.0
TotalNonCurrentAssets,102332000000.0
OtherNonCurrentAssets,1626000000.0
DefinedPensionBenefit,7506000000.0
NonCurrentPrepaidAssets,7506000000.0
NonCurrentDeferredAssets,7498000000.0
NonCurrentDeferredTaxesAssets,6656000000.0
NonCurrentAccountsReceivable,5766000000.0
FinancialAssets,
InvestmentsAndAdvances,
OtherInvestments,
LongTermEquityInvestment,
InvestmentsInOtherVenturesUnderEquityMethod,
GoodwillAndOtherIntangibleAssets,71214000000.0
OtherIntangibleAssets,11036000000.0
Goodwill,60178000000.0
NetPPE,8722000000.0
AccumulatedDepreciation,-12621000000.0
GrossPPE,21343000000.0
OtherProperties,6605000000.0
MachineryFurnitureEquipment,9223000000.0
BuildingsAndImprovements,5333000000.0
LandAndImprovements,182000000.0
Properties,0.0
CurrentAssets,32908000000.0
OtherCurrentAssets,2639000000.0
AssetsHeldForSaleCurrent,692000000.0
CurrentDeferredAssets,998000000.0
RestrictedCash,21000000.0
PrepaidAssets,
Inventory,1161000000.0
OtherInventories,
FinishedGoods,78000000.0
WorkInProcess,1083000000.0
Receivables,13956000000.0
OtherReceivables,6742000000.0
AccountsReceivable,7214000000.0
AllowanceForDoubtfulAccountsReceivable,-192000000.0
GrossAccountsReceivable,7406000000.0
CashCashEquivalentsAndShortTermInvestments,13441000000.0
OtherShortTermInvestments,373000000.0
CashAndCashEquivalents,13068000000.0
