,2023-12-31
FreeCashFlow,12121000000.0
RepurchaseOfCapitalStock,-402000000.0
RepaymentOfDebt,-5082000000.0
IssuanceOfDebt,9586000000.0
CapitalExpenditure,-1810000000.0
InterestPaidSupplementalData,1668000000.0
IncomeTaxPaidSupplementalData,1564000000.0
EndCashPosition,13089000000.0
BeginningCashPosition,7988000000.0
EffectOfExchangeRateChanges,9000000.0
ChangesInCash,5092000000.0
FinancingCashFlow,-1769000000.0
CashFlowFromContinuingFinancingActivities,-1769000000.0
NetOtherFinancingCharges,176000000.0
CashDividendsPaid,-6040000000.0
CommonStockDividendPaid,-6040000000.0
NetCommonStockIssuance,-402000000.0
CommonStockPayments,-402000000.0
NetIssuancePaymentsOfDebt,4497000000.0
NetShortTermDebtIssuance,-7000000.0
NetLongTermDebtIssuance,4504000000.0
LongTermDebtPayments,-5082000000.0
LongTermDebtIssuance,9586000000.0
InvestingCashFlow,-7070000000.0
CashFlowFromContinuingInvestingActivities,-7071000000.0
NetOtherInvestingChanges,1000000.0
NetInvestmentPurchaseAndSale,-496000000.0
SaleOfInvestment,10647000000.0
PurchaseOfInvestment,-11143000000.0
NetBusinessPurchaseAndSale,-5086000000.0
SaleOfBusiness,
PurchaseOfBusiness,-5086000000.0
NetIntangiblesPurchaseAndSale,-565000000.0
PurchaseOfIntangibles,-565000000.0
NetPPEPurchaseAndSale,-924000000.0
SaleOfPPE,321000000.0
PurchaseOfPPE,-1245000000.0
OperatingCashFlow,13931000000.0
CashFlowFromContinuingOperatingActivities,13931000000.0
ChangeInWorkingCapital,2184000000.0
ChangeInOtherWorkingCapital,1004000000.0
ChangeInPayablesAndAccruedExpense,65000000.0
ChangeInPayable,65000000.0
ChangeInAccountPayable,65000000.0
ChangeInInventory,390000000.0
ChangeInReceivables,725000000.0
OtherNonCashItems,
StockBasedCompensation,1133000000.0
DeferredTax,-1114000000.0
DeferredIncomeTax,-1114000000.0
DepreciationAmortizationDepletion,4396000000.0
DepreciationAndAmortization,4396000000.0
AmortizationCashFlow,2287000000.0
AmortizationOfIntangibles,2287000000.0
Depreciation,2109000000.0
OperatingGainsLosses,-170000000.0
PensionAndEmployeeBenefitExpense,0.0
NetIncomeFromContinuingOperations,7502000000.0
