,2023-12-31
TaxEffectOfUnusualItems,-7020000.0
TaxRateForCalcs,0.135
NormalizedEBITDA,14745000000.0
TotalUnusualItems,-52000000.0
TotalUnusualItemsExcludingGoodwill,-52000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,7514000000.0
ReconciledDepreciation,4396000000.0
ReconciledCostOfRevenue,24159000000.0
EBITDA,14693000000.0
EBIT,10297000000.0
NetInterestIncome,-937000000.0
InterestExpense,1607000000.0
InterestIncome,670000000.0
NormalizedIncome,7558980000.0
NetIncomeFromContinuingAndDiscontinuedOperation,7502000000.0
TotalExpenses,52486000000.0
DilutedAverageShares,922073828.0
BasicAverageShares,911210319.0
DilutedEPS,8.14
BasicEPS,8.23
DilutedNIAvailtoComStockholders,7502000000.0
AverageDilutionEarnings,0.0
NetIncomeCommonStockholders,7502000000.0
NetIncome,7502000000.0
NetIncomeIncludingNoncontrollingInterests,7502000000.0
NetIncomeDiscontinuousOperations,-12000000.0
NetIncomeContinuousOperations,7514000000.0
TaxProvision,1176000000.0
PretaxIncome,8690000000.0
OtherIncomeExpense,253000000.0
OtherNonOperatingIncomeExpenses,305000000.0
SpecialIncomeCharges,8000000.0
GainOnSaleOfPPE,8000000.0
WriteOff,
GainOnSaleOfSecurity,-60000000.0
NetNonOperatingInterestIncomeExpense,-937000000.0
InterestExpenseNonOperating,1607000000.0
InterestIncomeNonOperating,670000000.0
OperatingIncome,9374000000.0
OperatingExpense,24926000000.0
OtherOperatingExpenses,-851000000.0
ProvisionForDoubtfulAccounts,10000000.0
DepreciationAmortizationDepletionIncomeStatement,995000000.0
DepreciationAndAmortizationInIncomeStatement,995000000.0
Amortization,995000000.0
AmortizationOfIntangiblesIncomeStatement,995000000.0
ResearchAndDevelopment,6775000000.0
SellingGeneralAndAdministration,17997000000.0
SellingAndMarketingExpense,1237000000.0
GeneralAndAdministrativeExpense,16760000000.0
OtherGandA,15706000000.0
SalariesAndWages,1054000000.0
GrossProfit,34300000000.0
CostOfRevenue,27560000000.0
TotalRevenue,61860000000.0
OperatingRevenue,61860000000.0
