,2024-12-31
FreeCashFlow,18059000000.0
RepurchaseOfCapitalStock,-2432000000.0
RepaymentOfDebt,-11886000000.0
IssuanceOfDebt,21937000000.0
IssuanceOfCapitalStock,0.0
CapitalExpenditure,-6207000000.0
InterestPaidSupplementalData,1990000000.0
IncomeTaxPaidSupplementalData,6714000000.0
EndCashPosition,24105000000.0
BeginningCashPosition,21859000000.0
EffectOfExchangeRateChanges,-289000000.0
ChangesInCash,2535000000.0
FinancingCashFlow,-3132000000.0
CashFlowFromContinuingFinancingActivities,-3132000000.0
NetOtherFinancingCharges,234000000.0
ProceedsFromStockOptionExercised,838000000.0
CashDividendsPaid,-11823000000.0
CommonStockDividendPaid,-11823000000.0
NetCommonStockIssuance,-2432000000.0
CommonStockPayments,-2432000000.0
CommonStockIssuance,0.0
NetIssuancePaymentsOfDebt,10051000000.0
NetShortTermDebtIssuance,5814000000.0
ShortTermDebtPayments,-9463000000.0
ShortTermDebtIssuance,15277000000.0
NetLongTermDebtIssuance,4237000000.0
LongTermDebtPayments,-2423000000.0
LongTermDebtIssuance,6660000000.0
InvestingCashFlow,-18599000000.0
CashFlowFromContinuingInvestingActivities,-18599000000.0
NetOtherInvestingChanges,2018000000.0
NetInvestmentPurchaseAndSale,736000000.0
SaleOfInvestment,2462000000.0
PurchaseOfInvestment,-1726000000.0
NetBusinessPurchaseAndSale,-15146000000.0
PurchaseOfBusiness,-15146000000.0
NetIntangiblesPurchaseAndSale,-1783000000.0
PurchaseOfIntangibles,-1783000000.0
NetPPEPurchaseAndSale,-4424000000.0
PurchaseOfPPE,-4424000000.0
OperatingCashFlow,24266000000.0
CashFlowFromContinuingOperatingActivities,24266000000.0
ChangeInWorkingCapital,1837000000.0
ChangeInOtherCurrentLiabilities,33000000.0
ChangeInOtherCurrentAssets,1717000000.0
ChangeInPayablesAndAccruedExpense,1621000000.0
ChangeInInventory,-1128000000.0
ChangeInReceivables,-406000000.0
ChangesInAccountReceivables,-406000000.0
OtherNonCashItems,1841000000.0
StockBasedCompensation,1176000000.0
ProvisionandWriteOffofAssets,11000000.0
AssetImpairmentCharge,405000000.0
DeferredTax,-2183000000.0
DeferredIncomeTax,-2183000000.0
DepreciationAmortizationDepletion,7339000000.0
DepreciationAndAmortization,7339000000.0
OperatingGainsLosses,-226000000.0
GainLossOnSaleOfBusiness,-226000000.0
NetIncomeFromContinuingOperations,14066000000.0
