,2023-12-31
TaxEffectOfUnusualItems,-1037542955.782765
TaxRateForCalcs,0.115257
NormalizedEBITDA,32322000000.0
TotalUnusualItems,-9002000000.0
TotalUnusualItemsExcludingGoodwill,-9002000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,13326000000.0
ReconciledDepreciation,7486000000.0
ReconciledCostOfRevenue,26553000000.0
EBITDA,23320000000.0
EBIT,15834000000.0
NetInterestIncome,489000000.0
InterestExpense,772000000.0
InterestIncome,1261000000.0
NormalizedIncome,21290457044.217236
NetIncomeFromContinuingAndDiscontinuedOperation,35153000000.0
TotalExpenses,61750000000.0
DilutedAverageShares,2560400000.0
BasicAverageShares,2533500000.0
DilutedEPS,13.72
BasicEPS,13.88
DilutedNIAvailtoComStockholders,35153000000.0
NetIncomeCommonStockholders,35153000000.0
NetIncome,35153000000.0
NetIncomeIncludingNoncontrollingInterests,35153000000.0
NetIncomeDiscontinuousOperations,21827000000.0
NetIncomeContinuousOperations,13326000000.0
TaxProvision,1736000000.0
PretaxIncome,15062000000.0
OtherIncomeExpense,-8802000000.0
OtherNonOperatingIncomeExpenses,200000000.0
SpecialIncomeCharges,-8402000000.0
OtherSpecialCharges,7613000000.0
RestructuringAndMergernAcquisition,789000000.0
GainOnSaleOfSecurity,-600000000.0
NetNonOperatingInterestIncomeExpense,489000000.0
InterestExpenseNonOperating,772000000.0
InterestIncomeNonOperating,1261000000.0
OperatingIncome,23409000000.0
OperatingExpense,35197000000.0
ResearchAndDevelopment,15085000000.0
SellingGeneralAndAdministration,20112000000.0
GeneralAndAdministrativeExpense,20112000000.0
OtherGandA,21512000000.0
SalariesAndWages,-1400000000.0
GrossProfit,58606000000.0
CostOfRevenue,26553000000.0
TotalRevenue,85159000000.0
OperatingRevenue,85159000000.0
