,2024-12-31
TreasurySharesNumber,1307313494.0
PreferredSharesNumber,
OrdinarySharesNumber,2797620401.0
ShareIssued,4104933895.0
TotalDebt,454311000000.0
TangibleBookValue,260148000000.0
InvestedCapital,779019000000.0
NetTangibleAssets,280198000000.0
CommonStockEquity,324708000000.0
PreferredStockEquity,20050000000.0
TotalCapitalization,734594000000.0
TotalEquityGrossMinorityInterest,344758000000.0
StockholdersEquity,344758000000.0
GainsLossesNotAffectingRetainedEarnings,-12456000000.0
OtherEquityAdjustments,-12456000000.0
TreasuryStock,134018000000.0
RetainedEarnings,376166000000.0
AdditionalPaidInCapital,90911000000.0
CapitalStock,24155000000.0
CommonStock,4105000000.0
PreferredStock,20050000000.0
TotalLiabilitiesNetMinorityInterest,3658056000000.0
LongTermDebtAndCapitalLeaseObligation,389836000000.0
LongTermDebt,389836000000.0
CurrentDebtAndCapitalLeaseObligation,64475000000.0
CurrentDebt,64475000000.0
OtherCurrentBorrowings,64475000000.0
CommercialPaper,
PayablesAndAccruedExpenses,305933000000.0
Payables,305933000000.0
OtherPayable,152780000000.0
AccountsPayable,153153000000.0
TotalAssets,4002814000000.0
InvestmentsAndAdvances,1172872000000.0
HeldToMaturitySecurities,274468000000.0
AvailableForSaleSecurities,
TradingSecurities,501714000000.0
GoodwillAndOtherIntangibleAssets,64560000000.0
OtherIntangibleAssets,11995000000.0
Goodwill,52565000000.0
NetPPE,32223000000.0
GrossPPE,32223000000.0
OtherProperties,15349000000.0
Properties,16874000000.0
Receivables,101223000000.0
OtherReceivables,
AccountsReceivable,101223000000.0
OtherShortTermInvestments,396690000000.0
CashAndCashEquivalents,469317000000.0
CashFinancial,23372000000.0
CashCashEquivalentsAndFederalFundsSold,764318000000.0
