,2023-12-31
FreeCashFlow,12974000000.0
RepurchaseOfCapitalStock,-9824000000.0
RepaymentOfDebt,-64880000000.0
IssuanceOfDebt,75417000000.0
IssuanceOfCapitalStock,0.0
InterestPaidSupplementalData,77114000000.0
IncomeTaxPaidSupplementalData,9908000000.0
EndCashPosition,624151000000.0
BeginningCashPosition,567234000000.0
EffectOfExchangeRateChanges,1871000000.0
ChangesInCash,55046000000.0
FinancingCashFlow,-25571000000.0
CashFlowFromContinuingFinancingActivities,-25571000000.0
NetOtherFinancingCharges,7508000000.0
CashDividendsPaid,-13463000000.0
NetPreferredStockIssuance,0.0
PreferredStockPayments,0.0
PreferredStockIssuance,0.0
NetCommonStockIssuance,-9824000000.0
CommonStockPayments,-9824000000.0
NetIssuancePaymentsOfDebt,8603000000.0
NetShortTermDebtIssuance,-1934000000.0
NetLongTermDebtIssuance,10537000000.0
LongTermDebtPayments,-64880000000.0
LongTermDebtIssuance,75417000000.0
InvestingCashFlow,67643000000.0
CashFlowFromContinuingInvestingActivities,67643000000.0
NetOtherInvestingChanges,-16740000000.0
NetInvestmentPurchaseAndSale,95594000000.0
SaleOfInvestment,215234000000.0
PurchaseOfInvestment,-119640000000.0
NetBusinessPurchaseAndSale,-9920000000.0
PurchaseOfBusiness,-9920000000.0
OperatingCashFlow,12974000000.0
CashFlowFromContinuingOperatingActivities,12974000000.0
ChangeInWorkingCapital,-56168000000.0
ChangeInOtherWorkingCapital,-83678000000.0
ChangeInOtherCurrentAssets,32970000000.0
ChangeInPayablesAndAccruedExpense,-25388000000.0
ChangeInPayable,-25388000000.0
ChangeInAccountPayable,-25388000000.0
ChangeInReceivables,19928000000.0
ChangesInAccountReceivables,19928000000.0
OtherNonCashItems,7292000000.0
DeferredTax,-4534000000.0
DeferredIncomeTax,-4534000000.0
DepreciationAmortizationDepletion,7512000000.0
DepreciationAndAmortization,7512000000.0
OperatingGainsLosses,-2775000000.0
GainLossOnInvestmentSecurities,0.0
GainLossOnSaleOfBusiness,-2775000000.0
NetIncomeFromContinuingOperations,49552000000.0
