,2024-12-31
TaxEffectOfUnusualItems,-160702928037.71927
TaxRateForCalcs,0.221228
TotalUnusualItems,-726414000000.0
TotalUnusualItemsExcludingGoodwill,-726414000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,58471000000.0
ReconciledDepreciation,7938000000.0
NetInterestIncome,92583000000.0
InterestExpense,101350000000.0
InterestIncome,193933000000.0
NormalizedIncome,624182071962.2808
NetIncomeFromContinuingAndDiscontinuedOperation,58471000000.0
DilutedAverageShares,2879000000.0
BasicAverageShares,2873900000.0
DilutedEPS,19.75
BasicEPS,19.79
DilutedNIAvailtoComStockholders,56868000000.0
NetIncomeCommonStockholders,56868000000.0
OtherunderPreferredStockDividend,344000000.0
PreferredStockDividends,1259000000.0
NetIncome,58471000000.0
NetIncomeIncludingNoncontrollingInterests,58471000000.0
NetIncomeContinuousOperations,58471000000.0
TaxProvision,16610000000.0
PretaxIncome,75081000000.0
SpecialIncomeCharges,-726414000000.0
OtherSpecialCharges,725740000000.0
RestructuringAndMergernAcquisition,674000000.0
GainOnSaleOfSecurity,6945000000.0
SellingGeneralAndAdministration,56331000000.0
SellingAndMarketingExpense,4974000000.0
GeneralAndAdministrativeExpense,51357000000.0
OtherGandA,
SalariesAndWages,51357000000.0
TotalRevenue,177429000000.0
OperatingRevenue,177429000000.0
OccupancyAndEquipment,14857000000.0
ProfessionalExpenseAndContractServicesExpense,11057000000.0
OtherNonInterestExpense,-716965000000.0
