,2023-12-31
TreasurySharesNumber,2732000000.0
OrdinarySharesNumber,4308000000.0
ShareIssued,7040000000.0
NetDebt,32698000000.0
TotalDebt,42064000000.0
TangibleBookValue,-7282000000.0
InvestedCapital,68005000000.0
WorkingCapital,3161000000.0
NetTangibleAssets,-7282000000.0
CommonStockEquity,25941000000.0
TotalCapitalization,61488000000.0
TotalEquityGrossMinorityInterest,27480000000.0
MinorityInterest,1539000000.0
StockholdersEquity,25941000000.0
GainsLossesNotAffectingRetainedEarnings,-14275000000.0
OtherEquityAdjustments,-154000000.0
ForeignCurrencyTranslationAdjustments,-12726000000.0
MinimumPensionLiabilities,-1394000000.0
UnrealizedGainLoss,-1000000.0
TreasuryStock,54535000000.0
RetainedEarnings,73782000000.0
AdditionalPaidInCapital,19209000000.0
CapitalStock,1760000000.0
CommonStock,1760000000.0
TotalLiabilitiesNetMinorityInterest,70223000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,46652000000.0
OtherNonCurrentLiabilities,8466000000.0
NonCurrentDeferredLiabilities,2639000000.0
NonCurrentDeferredTaxesLiabilities,2639000000.0
LongTermDebtAndCapitalLeaseObligation,35547000000.0
LongTermDebt,35547000000.0
CurrentLiabilities,23571000000.0
CurrentDebtAndCapitalLeaseObligation,6517000000.0
CurrentDebt,6517000000.0
OtherCurrentBorrowings,1960000000.0
LineOfCredit,348000000.0
CommercialPaper,4209000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1394000000.0
PayablesAndAccruedExpenses,15660000000.0
CurrentAccruedExpenses,8501000000.0
Payables,7159000000.0
OtherPayable,
TotalTaxPayable,1569000000.0
IncomeTaxPayable,1569000000.0
AccountsPayable,5590000000.0
TotalAssets,97703000000.0
TotalNonCurrentAssets,70971000000.0
OtherNonCurrentAssets,7162000000.0
NonCurrentDeferredAssets,1561000000.0
NonCurrentDeferredTaxesAssets,1561000000.0
InvestmentsAndAdvances,19789000000.0
OtherInvestments,118000000.0
LongTermEquityInvestment,19671000000.0
GoodwillAndOtherIntangibleAssets,33223000000.0
OtherIntangibleAssets,14865000000.0
Goodwill,18358000000.0
NetPPE,9236000000.0
AccumulatedDepreciation,-9233000000.0
GrossPPE,18469000000.0
MachineryFurnitureEquipment,13593000000.0
BuildingsAndImprovements,4647000000.0
LandAndImprovements,229000000.0
Properties,0.0
CurrentAssets,26732000000.0
OtherCurrentAssets,5235000000.0
PrepaidAssets,
Inventory,4424000000.0
OtherInventories,357000000.0
FinishedGoods,1449000000.0
RawMaterials,2618000000.0
Receivables,3410000000.0
AccountsReceivable,3410000000.0
AllowanceForDoubtfulAccountsReceivable,-502000000.0
GrossAccountsReceivable,3912000000.0
CashCashEquivalentsAndShortTermInvestments,13663000000.0
OtherShortTermInvestments,4297000000.0
CashAndCashEquivalents,9366000000.0
