,2023-12-31
FreeCashFlow,9747000000.0
RepurchaseOfCapitalStock,-2289000000.0
RepaymentOfDebt,-5034000000.0
IssuanceOfDebt,6891000000.0
IssuanceOfCapitalStock,539000000.0
CapitalExpenditure,-1852000000.0
EndCashPosition,9692000000.0
BeginningCashPosition,9825000000.0
EffectOfExchangeRateChanges,-73000000.0
ChangesInCash,-60000000.0
FinancingCashFlow,-8310000000.0
CashFlowFromContinuingFinancingActivities,-8310000000.0
NetOtherFinancingCharges,-465000000.0
CashDividendsPaid,-7952000000.0
CommonStockDividendPaid,-7952000000.0
NetCommonStockIssuance,-1750000000.0
CommonStockPayments,-2289000000.0
CommonStockIssuance,539000000.0
NetIssuancePaymentsOfDebt,1857000000.0
NetLongTermDebtIssuance,1857000000.0
LongTermDebtPayments,-5034000000.0
LongTermDebtIssuance,6891000000.0
InvestingCashFlow,-3349000000.0
CashFlowFromContinuingInvestingActivities,-3349000000.0
NetOtherInvestingChanges,405000000.0
NetInvestmentPurchaseAndSale,-2344000000.0
SaleOfInvestment,4354000000.0
PurchaseOfInvestment,-6698000000.0
NetBusinessPurchaseAndSale,368000000.0
SaleOfBusiness,430000000.0
PurchaseOfBusiness,-62000000.0
NetPPEPurchaseAndSale,-1778000000.0
SaleOfPPE,74000000.0
PurchaseOfPPE,-1852000000.0
OperatingCashFlow,11599000000.0
CashFlowFromContinuingOperatingActivities,11599000000.0
ChangeInWorkingCapital,-846000000.0
ChangeInOtherWorkingCapital,
ChangeInOtherCurrentLiabilities,-187000000.0
ChangeInPayablesAndAccruedExpense,263000000.0
ChangeInPayable,263000000.0
ChangeInAccountPayable,841000000.0
ChangeInTaxPayable,-578000000.0
ChangeInIncomeTaxPayable,-578000000.0
ChangeInPrepaidAssets,-323000000.0
ChangeInInventory,-597000000.0
ChangeInReceivables,-2000000.0
ChangesInAccountReceivables,-2000000.0
OtherNonCashItems,1206000000.0
StockBasedCompensation,254000000.0
DeferredTax,-2000000.0
DeferredIncomeTax,-2000000.0
DepreciationAmortizationDepletion,1128000000.0
DepreciationAndAmortization,1128000000.0
OperatingGainsLosses,-844000000.0
EarningsLossesFromEquityInvestments,-1019000000.0
NetForeignCurrencyExchangeGainLoss,175000000.0
NetIncomeFromContinuingOperations,10703000000.0
