,2023-12-31
TaxEffectOfUnusualItems,-195750000.0
TaxRateForCalcs,0.174
NormalizedEBITDA,16732000000.0
TotalUnusualItems,-1125000000.0
TotalUnusualItemsExcludingGoodwill,-1125000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10714000000.0
ReconciledDepreciation,1128000000.0
ReconciledCostOfRevenue,17407000000.0
EBITDA,15607000000.0
EBIT,14479000000.0
NetInterestIncome,-620000000.0
InterestExpense,1527000000.0
InterestIncome,907000000.0
NormalizedIncome,11643250000.0
NetIncomeFromContinuingAndDiscontinuedOperation,10714000000.0
TotalExpenses,32671000000.0
TotalOperatingIncomeAsReported,11311000000.0
DilutedAverageShares,4339000000.0
BasicAverageShares,4323000000.0
DilutedEPS,2.47
BasicEPS,2.48
DilutedNIAvailtoComStockholders,10714000000.0
NetIncomeCommonStockholders,10714000000.0
NetIncome,10714000000.0
MinorityInterests,11000000.0
NetIncomeIncludingNoncontrollingInterests,10703000000.0
NetIncomeContinuousOperations,10703000000.0
TaxProvision,2249000000.0
PretaxIncome,12952000000.0
OtherIncomeExpense,489000000.0
OtherNonOperatingIncomeExpenses,-77000000.0
SpecialIncomeCharges,-1310000000.0
GainOnSaleOfPPE,-35000000.0
GainOnSaleOfBusiness,59000000.0
OtherSpecialCharges,8000000.0
WriteOff,39000000.0
ImpairmentOfCapitalAssets,
RestructuringAndMergernAcquisition,1322000000.0
EarningsFromEquityInterest,1691000000.0
GainOnSaleOfSecurity,185000000.0
NetNonOperatingInterestIncomeExpense,-620000000.0
InterestExpenseNonOperating,1527000000.0
InterestIncomeNonOperating,907000000.0
OperatingIncome,13083000000.0
OperatingExpense,14151000000.0
OtherOperatingExpenses,6273000000.0
DepreciationAmortizationDepletionIncomeStatement,15000000.0
DepreciationAndAmortizationInIncomeStatement,15000000.0
Amortization,15000000.0
AmortizationOfIntangiblesIncomeStatement,15000000.0
SellingGeneralAndAdministration,7863000000.0
SellingAndMarketingExpense,7609000000.0
GeneralAndAdministrativeExpense,254000000.0
OtherGandA,
SalariesAndWages,254000000.0
GrossProfit,27234000000.0
CostOfRevenue,18520000000.0
TotalRevenue,45754000000.0
OperatingRevenue,45754000000.0
