,2023-12-31
TreasurySharesNumber,937900000.0
OrdinarySharesNumber,722700000.0
ShareIssued,1660600000.0
NetDebt,34766000000.0
TotalDebt,53091100000.0
TangibleBookValue,-7747100000.0
InvestedCapital,34638600000.0
WorkingCapital,1127400000.0
NetTangibleAssets,-7747100000.0
CapitalLeaseObligations,13745800000.0
CommonStockEquity,-4706700000.0
TotalCapitalization,32446200000.0
TotalEquityGrossMinorityInterest,-4706700000.0
StockholdersEquity,-4706700000.0
GainsLossesNotAffectingRetainedEarnings,-2456000000.0
OtherEquityAdjustments,-2456000000.0
TreasuryStock,74640100000.0
RetainedEarnings,63479900000.0
AdditionalPaidInCapital,8892900000.0
CapitalStock,16600000.0
CommonStock,16600000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,60853500000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,53994500000.0
OtherNonCurrentLiabilities,949700000.0
TradeandOtherPayablesNonCurrent,363200000.0
NonCurrentDeferredLiabilities,2471000000.0
NonCurrentDeferredRevenue,790100000.0
NonCurrentDeferredTaxesLiabilities,1680900000.0
LongTermDebtAndCapitalLeaseObligation,50210600000.0
LongTermCapitalLeaseObligation,13057700000.0
LongTermDebt,37152900000.0
CurrentLiabilities,6859000000.0
CurrentDebtAndCapitalLeaseObligation,2880500000.0
CurrentCapitalLeaseObligation,688100000.0
CurrentDebt,2192400000.0
OtherCurrentBorrowings,2192400000.0
PayablesAndAccruedExpenses,3978500000.0
CurrentAccruedExpenses,1902500000.0
InterestPayable,468900000.0
Payables,2076000000.0
TotalTaxPayable,973100000.0
IncomeTaxPayable,705100000.0
AccountsPayable,1102900000.0
TotalAssets,56146800000.0
TotalNonCurrentAssets,48160400000.0
OtherNonCurrentAssets,5617800000.0
InvestmentsAndAdvances,1080200000.0
LongTermEquityInvestment,1080200000.0
InvestmentsinAssociatesatCost,
GoodwillAndOtherIntangibleAssets,3040400000.0
Goodwill,3040400000.0
NetPPE,38422000000.0
AccumulatedDepreciation,-18662400000.0
GrossPPE,57084400000.0
OtherProperties,16621500000.0
MachineryFurnitureEquipment,
BuildingsAndImprovements,33381600000.0
LandAndImprovements,7081300000.0
Properties,0.0
CurrentAssets,7986400000.0
OtherCurrentAssets,866300000.0
PrepaidAssets,
Inventory,52800000.0
Receivables,2488000000.0
AccountsReceivable,2488000000.0
CashCashEquivalentsAndShortTermInvestments,4579300000.0
CashAndCashEquivalents,4579300000.0
