,2023-12-31
FreeCashFlow,7254500000.0
RepurchaseOfCapitalStock,-3054300000.0
RepaymentOfDebt,-2441100000.0
IssuanceOfDebt,5221100000.0
CapitalExpenditure,-2357400000.0
InterestPaidSupplementalData,1286900000.0
IncomeTaxPaidSupplementalData,2992900000.0
EndCashPosition,4579300000.0
BeginningCashPosition,2583800000.0
EffectOfExchangeRateChanges,-57800000.0
ChangesInCash,2053300000.0
FinancingCashFlow,-4374100000.0
CashFlowFromContinuingFinancingActivities,-4374100000.0
NetOtherFinancingCharges,-39600000.0
ProceedsFromStockOptionExercised,259800000.0
CashDividendsPaid,-4532800000.0
CommonStockDividendPaid,-4532800000.0
NetCommonStockIssuance,-3054300000.0
CommonStockPayments,-3054300000.0
NetIssuancePaymentsOfDebt,2992800000.0
NetShortTermDebtIssuance,212800000.0
NetLongTermDebtIssuance,2780000000.0
LongTermDebtPayments,-2441100000.0
LongTermDebtIssuance,5221100000.0
InvestingCashFlow,-3184500000.0
CashFlowFromContinuingInvestingActivities,-3184500000.0
NetOtherInvestingChanges,-676100000.0
NetBusinessPurchaseAndSale,-245900000.0
SaleOfBusiness,195300000.0
PurchaseOfBusiness,-441200000.0
NetPPEPurchaseAndSale,94900000.0
SaleOfPPE,94900000.0
CapitalExpenditureReported,-2357400000.0
OperatingCashFlow,9611900000.0
CashFlowFromContinuingOperatingActivities,9611900000.0
ChangeInWorkingCapital,-108000000.0
ChangeInOtherWorkingCapital,-220300000.0
ChangeInPayablesAndAccruedExpense,256600000.0
ChangeInAccruedExpense,206200000.0
ChangeInPayable,50400000.0
ChangeInAccountPayable,50400000.0
ChangeInTaxPayable,
ChangeInIncomeTaxPayable,
ChangeInInventory,16700000.0
ChangeInReceivables,-161000000.0
ChangesInAccountReceivables,-161000000.0
OtherNonCashItems,-112700000.0
StockBasedCompensation,175200000.0
DeferredTax,-686400000.0
DeferredIncomeTax,-686400000.0
DepreciationAmortizationDepletion,1978200000.0
DepreciationAndAmortization,1978200000.0
OperatingGainsLosses,-103200000.0
GainLossOnSaleOfBusiness,-103200000.0
NetIncomeFromContinuingOperations,8468800000.0
