,2023-12-31
TaxEffectOfUnusualItems,-45493500.0
TaxRateForCalcs,0.195
NormalizedEBITDA,14094500000.0
TotalUnusualItems,-233300000.0
TotalUnusualItemsExcludingGoodwill,-233300000.0
NetIncomeFromContinuingOperationNetMinorityInterest,8468800000.0
ReconciledDepreciation,1978200000.0
ReconciledCostOfRevenue,9334700000.0
EBITDA,13861200000.0
EBIT,11883000000.0
NetInterestIncome,-1174800000.0
InterestExpense,1360800000.0
InterestIncome,186000000.0
NormalizedIncome,8656606500.0
NetIncomeFromContinuingAndDiscontinuedOperation,8468800000.0
TotalExpenses,13748100000.0
RentExpenseSupplemental,4773900000.0
TotalOperatingIncomeAsReported,11646700000.0
DilutedAverageShares,732300000.0
BasicAverageShares,727900000.0
DilutedEPS,11.56
BasicEPS,11.63
DilutedNIAvailtoComStockholders,8468800000.0
NetIncomeCommonStockholders,8468800000.0
NetIncome,8468800000.0
NetIncomeIncludingNoncontrollingInterests,8468800000.0
NetIncomeContinuousOperations,8468800000.0
TaxProvision,2053400000.0
PretaxIncome,10522200000.0
OtherIncomeExpense,-48900000.0
OtherNonOperatingIncomeExpenses,31000000.0
SpecialIncomeCharges,-252300000.0
GainOnSaleOfPPE,6800000.0
GainOnSaleOfBusiness,103200000.0
WriteOff,362300000.0
ImpairmentOfCapitalAssets,
EarningsFromEquityInterest,153400000.0
GainOnSaleOfSecurity,19000000.0
NetNonOperatingInterestIncomeExpense,-1174800000.0
InterestExpenseNonOperating,1360800000.0
InterestIncomeNonOperating,186000000.0
OperatingIncome,11745600000.0
OperatingExpense,2816900000.0
DepreciationAmortizationDepletionIncomeStatement,381700000.0
DepreciationAndAmortizationInIncomeStatement,381700000.0
SellingGeneralAndAdministration,2435200000.0
GrossProfit,14562500000.0
CostOfRevenue,10931200000.0
TotalRevenue,25493700000.0
OperatingRevenue,25178100000.0
