,2024-12-31
FreeCashFlow,638000000.0
RepurchaseOfCapitalStock,-1801000000.0
RepaymentOfDebt,-2656000000.0
IssuanceOfDebt,8367000000.0
CapitalExpenditure,-1181000000.0
InterestPaidSupplementalData,505000000.0
IncomeTaxPaidSupplementalData,852000000.0
EndCashPosition,5600000000.0
BeginningCashPosition,5933000000.0
EffectOfExchangeRateChanges,-44000000.0
ChangesInCash,-289000000.0
FinancingCashFlow,1098000000.0
CashFlowFromContinuingFinancingActivities,1098000000.0
NetOtherFinancingCharges,-717000000.0
ProceedsFromStockOptionExercised,92000000.0
CashDividendsPaid,-1982000000.0
CommonStockDividendPaid,-1982000000.0
NetCommonStockIssuance,-1801000000.0
CommonStockPayments,-1801000000.0
NetIssuancePaymentsOfDebt,5506000000.0
NetShortTermDebtIssuance,-205000000.0
NetLongTermDebtIssuance,5711000000.0
LongTermDebtPayments,-2656000000.0
LongTermDebtIssuance,8367000000.0
InvestingCashFlow,-3206000000.0
CashFlowFromContinuingInvestingActivities,-3206000000.0
NetOtherInvestingChanges,-7000000.0
NetInvestmentPurchaseAndSale,-2079000000.0
SaleOfInvestment,2074000000.0
PurchaseOfInvestment,-4153000000.0
NetBusinessPurchaseAndSale,0.0
SaleOfBusiness,0.0
PurchaseOfBusiness,
NetPPEPurchaseAndSale,-1120000000.0
SaleOfPPE,61000000.0
PurchaseOfPPE,-1181000000.0
OperatingCashFlow,1819000000.0
CashFlowFromContinuingOperatingActivities,1819000000.0
ChangeInWorkingCapital,-71000000.0
ChangeInPayablesAndAccruedExpense,-226000000.0
ChangeInPayable,-226000000.0
ChangeInAccountPayable,46000000.0
ChangeInTaxPayable,-272000000.0
ChangeInIncomeTaxPayable,-272000000.0
ChangeInInventory,41000000.0
ChangeInReceivables,114000000.0
ChangesInAccountReceivables,114000000.0
OtherNonCashItems,-5306000000.0
StockBasedCompensation,289000000.0
AssetImpairmentCharge,0.0
DeferredTax,321000000.0
DeferredIncomeTax,321000000.0
DepreciationAmortizationDepletion,1363000000.0
DepreciationAndAmortization,1363000000.0
OperatingGainsLosses,1035000000.0
PensionAndEmployeeBenefitExpense,1035000000.0
GainLossOnSaleOfBusiness,0.0
NetIncomeFromContinuingOperations,4188000000.0
