,2023-12-31
TaxEffectOfUnusualItems,9144000.0
TaxRateForCalcs,0.254
NormalizedEBITDA,-8379000000.0
TotalUnusualItems,36000000.0
TotalUnusualItemsExcludingGoodwill,36000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,-8402000000.0
ReconciledDepreciation,1987000000.0
ReconciledCostOfRevenue,14983000000.0
EBITDA,-8343000000.0
EBIT,-10330000000.0
NetInterestIncome,-691000000.0
InterestExpense,941000000.0
InterestIncome,250000000.0
NormalizedIncome,-8428856000.0
NetIncomeFromContinuingAndDiscontinuedOperation,-6995000000.0
TotalExpenses,35335000000.0
TotalOperatingIncomeAsReported,-10689000000.0
DilutedAverageShares,553900000.0
BasicAverageShares,553900000.0
DilutedEPS,-12.63
BasicEPS,-12.63
DilutedNIAvailtoComStockholders,-6995000000.0
NetIncomeCommonStockholders,-6995000000.0
NetIncome,-6995000000.0
MinorityInterests,-16000000.0
NetIncomeIncludingNoncontrollingInterests,-6979000000.0
NetIncomeDiscontinuousOperations,1407000000.0
NetIncomeContinuousOperations,-8386000000.0
EarningsFromEquityInterestNetOfTax,18000000.0
TaxProvision,-2867000000.0
PretaxIncome,-11271000000.0
OtherIncomeExpense,145000000.0
OtherNonOperatingIncomeExpenses,109000000.0
SpecialIncomeCharges,36000000.0
GainOnSaleOfBusiness,36000000.0
ImpairmentOfCapitalAssets,0.0
GainOnSaleOfSecurity,
NetNonOperatingInterestIncomeExpense,-691000000.0
InterestExpenseNonOperating,941000000.0
InterestIncomeNonOperating,250000000.0
OperatingIncome,-10725000000.0
OperatingExpense,20352000000.0
ResearchAndDevelopment,1154000000.0
SellingGeneralAndAdministration,19198000000.0
GeneralAndAdministrativeExpense,21526000000.0
OtherGandA,21526000000.0
SalariesAndWages,-129000000.0
GrossProfit,9627000000.0
CostOfRevenue,14983000000.0
TotalRevenue,24610000000.0
OperatingRevenue,24610000000.0
