,2024-12-31
TaxEffectOfUnusualItems,261188000.0
TaxRateForCalcs,0.167
NormalizedEBITDA,5809000000.0
TotalUnusualItems,1564000000.0
TotalUnusualItemsExcludingGoodwill,1564000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,4009000000.0
ReconciledDepreciation,1363000000.0
ReconciledCostOfRevenue,14447000000.0
EBITDA,7373000000.0
EBIT,6010000000.0
NetInterestIncome,-739000000.0
InterestExpense,1191000000.0
InterestIncome,452000000.0
NormalizedIncome,2706188000.0
NetIncomeFromContinuingAndDiscontinuedOperation,4173000000.0
TotalExpenses,19753000000.0
TotalOperatingIncomeAsReported,4822000000.0
DilutedAverageShares,552400000.0
BasicAverageShares,550800000.0
DilutedEPS,7.55
BasicEPS,7.58
DilutedNIAvailtoComStockholders,4173000000.0
NetIncomeCommonStockholders,4173000000.0
NetIncome,4173000000.0
MinorityInterests,-15000000.0
NetIncomeIncludingNoncontrollingInterests,4188000000.0
NetIncomeDiscontinuousOperations,164000000.0
NetIncomeContinuousOperations,4024000000.0
EarningsFromEquityInterestNetOfTax,9000000.0
TaxProvision,804000000.0
PretaxIncome,4819000000.0
OtherIncomeExpense,736000000.0
OtherNonOperatingIncomeExpenses,-828000000.0
SpecialIncomeCharges,0.0
GainOnSaleOfBusiness,0.0
ImpairmentOfCapitalAssets,0.0
GainOnSaleOfSecurity,1564000000.0
NetNonOperatingInterestIncomeExpense,-739000000.0
InterestExpenseNonOperating,1191000000.0
InterestIncomeNonOperating,452000000.0
OperatingIncome,4822000000.0
OperatingExpense,5306000000.0
ResearchAndDevelopment,1085000000.0
SellingGeneralAndAdministration,4221000000.0
GeneralAndAdministrativeExpense,
OtherGandA,
SalariesAndWages,
GrossProfit,10128000000.0
CostOfRevenue,14447000000.0
TotalRevenue,24575000000.0
OperatingRevenue,24575000000.0
