,2023-12-31
TreasurySharesNumber,1045470249.0
OrdinarySharesNumber,2531633273.0
ShareIssued,3577103522.0
NetDebt,28214000000.0
TotalDebt,35055000000.0
TangibleBookValue,-1627000000.0
InvestedCapital,72636000000.0
WorkingCapital,6474000000.0
NetTangibleAssets,-1627000000.0
CommonStockEquity,37581000000.0
TotalCapitalization,71264000000.0
TotalEquityGrossMinorityInterest,37635000000.0
MinorityInterest,54000000.0
StockholdersEquity,37581000000.0
GainsLossesNotAffectingRetainedEarnings,-5161000000.0
OtherEquityAdjustments,-5161000000.0
TreasuryStock,57450000000.0
RetainedEarnings,53895000000.0
AdditionalPaidInCapital,44509000000.0
CapitalStock,1788000000.0
CommonStock,1788000000.0
TotalLiabilitiesNetMinorityInterest,69040000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,43346000000.0
OtherNonCurrentLiabilities,8792000000.0
LiabilitiesHeldforSaleNonCurrent,
NonCurrentDeferredLiabilities,871000000.0
NonCurrentDeferredTaxesLiabilities,871000000.0
LongTermDebtAndCapitalLeaseObligation,33683000000.0
LongTermDebt,33683000000.0
CurrentLiabilities,25694000000.0
OtherCurrentLiabilities,
CurrentDebtAndCapitalLeaseObligation,1372000000.0
CurrentDebt,1372000000.0
PayablesAndAccruedExpenses,24322000000.0
CurrentAccruedExpenses,15766000000.0
Payables,8556000000.0
DividendsPayable,1985000000.0
TotalTaxPayable,2649000000.0
IncomeTaxPayable,2649000000.0
AccountsPayable,3922000000.0
TotalAssets,106675000000.0
TotalNonCurrentAssets,74507000000.0
OtherNonCurrentAssets,11996000000.0
InvestmentsAndAdvances,252000000.0
GoodwillAndOtherIntangibleAssets,39208000000.0
OtherIntangibleAssets,18011000000.0
Goodwill,21197000000.0
NetPPE,23051000000.0
AccumulatedDepreciation,-18266000000.0
GrossPPE,41317000000.0
ConstructionInProgress,8262000000.0
MachineryFurnitureEquipment,17763000000.0
BuildingsAndImprovements,14966000000.0
LandAndImprovements,326000000.0
Properties,0.0
CurrentAssets,32168000000.0
OtherCurrentAssets,8368000000.0
AssetsHeldForSaleCurrent,
Inventory,6358000000.0
Receivables,10349000000.0
AccountsReceivable,10349000000.0
AllowanceForDoubtfulAccountsReceivable,-88000000.0
GrossAccountsReceivable,10437000000.0
CashCashEquivalentsAndShortTermInvestments,7093000000.0
OtherShortTermInvestments,252000000.0
CashAndCashEquivalents,6841000000.0
