,2023-12-31
FreeCashFlow,9143000000.0
RepurchaseOfCapitalStock,-1346000000.0
RepaymentOfDebt,-1755000000.0
IssuanceOfDebt,5939000000.0
CapitalExpenditure,-3863000000.0
EndCashPosition,6909000000.0
OtherCashAdjustmentOutsideChangeinCash,
BeginningCashPosition,12773000000.0
EffectOfExchangeRateChanges,23000000.0
ChangesInCash,-5887000000.0
FinancingCashFlow,-4810000000.0
CashFromDiscontinuedFinancingActivities,0.0
CashFlowFromContinuingFinancingActivities,-4810000000.0
NetOtherFinancingCharges,-328000000.0
ProceedsFromStockOptionExercised,125000000.0
CashDividendsPaid,-7445000000.0
CommonStockDividendPaid,-7445000000.0
NetCommonStockIssuance,-1346000000.0
CommonStockPayments,-1346000000.0
NetIssuancePaymentsOfDebt,4184000000.0
NetShortTermDebtIssuance,0.0
NetLongTermDebtIssuance,4184000000.0
LongTermDebtPayments,-1755000000.0
LongTermDebtIssuance,5939000000.0
InvestingCashFlow,-14083000000.0
CashFromDiscontinuedInvestingActivities,0.0
CashFlowFromContinuingInvestingActivities,-14083000000.0
NetOtherInvestingChanges,-36000000.0
NetInvestmentPurchaseAndSale,1848000000.0
SaleOfInvestment,2803000000.0
PurchaseOfInvestment,-955000000.0
NetBusinessPurchaseAndSale,-12032000000.0
PurchaseOfBusiness,-12032000000.0
CapitalExpenditureReported,-3863000000.0
OperatingCashFlow,13006000000.0
CashFromDiscontinuedOperatingActivities,0.0
CashFlowFromContinuingOperatingActivities,13006000000.0
ChangeInWorkingCapital,-2205000000.0
ChangeInOtherWorkingCapital,-2314000000.0
ChangeInOtherCurrentLiabilities,456000000.0
ChangeInPayablesAndAccruedExpense,1617000000.0
ChangeInAccruedExpense,1783000000.0
ChangeInPayable,-166000000.0
ChangeInAccountPayable,-380000000.0
ChangeInTaxPayable,214000000.0
ChangeInIncomeTaxPayable,214000000.0
ChangeInInventory,-816000000.0
ChangeInReceivables,-1148000000.0
ChangesInAccountReceivables,-1148000000.0
OtherNonCashItems,11764000000.0
StockBasedCompensation,645000000.0
AssetImpairmentCharge,792000000.0
DeferredTax,-1899000000.0
DeferredIncomeTax,-1899000000.0
DepreciationAmortizationDepletion,3872000000.0
DepreciationAndAmortization,3872000000.0
AmortizationCashFlow,2044000000.0
AmortizationOfIntangibles,2044000000.0
Depreciation,1828000000.0
OperatingGainsLosses,-340000000.0
EarningsLossesFromEquityInvestments,-340000000.0
GainLossOnInvestmentSecurities,
NetIncomeFromContinuingOperations,377000000.0
