,2023-12-31
TaxEffectOfUnusualItems,-132090000.0
TaxRateForCalcs,0.21
NormalizedEBITDA,7536000000.0
TotalUnusualItems,-629000000.0
TotalUnusualItemsExcludingGoodwill,-629000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,365000000.0
ReconciledDepreciation,3872000000.0
ReconciledCostOfRevenue,16126000000.0
EBITDA,6907000000.0
EBIT,3035000000.0
NetInterestIncome,-781000000.0
InterestExpense,1146000000.0
InterestIncome,365000000.0
NormalizedIncome,861910000.0
NetIncomeFromContinuingAndDiscontinuedOperation,365000000.0
TotalExpenses,57161000000.0
DilutedAverageShares,2607142857.0
BasicAverageShares,2607142857.0
DilutedEPS,0.14
BasicEPS,0.14
DilutedNIAvailtoComStockholders,365000000.0
NetIncomeCommonStockholders,365000000.0
NetIncome,365000000.0
MinorityInterests,-12000000.0
NetIncomeIncludingNoncontrollingInterests,377000000.0
NetIncomeDiscontinuousOperations,0.0
NetIncomeContinuousOperations,377000000.0
TaxProvision,1512000000.0
PretaxIncome,1889000000.0
OtherIncomeExpense,-284000000.0
OtherNonOperatingIncomeExpenses,345000000.0
SpecialIncomeCharges,-599000000.0
RestructuringAndMergernAcquisition,599000000.0
GainOnSaleOfSecurity,-30000000.0
NetNonOperatingInterestIncomeExpense,-781000000.0
InterestExpenseNonOperating,1146000000.0
InterestIncomeNonOperating,365000000.0
OperatingIncome,2954000000.0
OperatingExpense,41035000000.0
ResearchAndDevelopment,30531000000.0
SellingGeneralAndAdministration,10504000000.0
GrossProfit,43989000000.0
CostOfRevenue,16126000000.0
TotalRevenue,60115000000.0
OperatingRevenue,60115000000.0
