,2023-06-30
TaxEffectOfUnusualItems,-2850000.0
TaxRateForCalcs,0.19
NormalizedEBITDA,105155000000.0
TotalUnusualItems,-15000000.0
TotalUnusualItemsExcludingGoodwill,-15000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,72361000000.0
ReconciledDepreciation,13861000000.0
ReconciledCostOfRevenue,65863000000.0
EBITDA,105140000000.0
EBIT,91279000000.0
NetInterestIncome,1026000000.0
InterestExpense,1968000000.0
InterestIncome,2994000000.0
NormalizedIncome,72373150000.0
NetIncomeFromContinuingAndDiscontinuedOperation,72361000000.0
TotalExpenses,123392000000.0
TotalOperatingIncomeAsReported,88523000000.0
DilutedAverageShares,7472000000.0
BasicAverageShares,7446000000.0
DilutedEPS,9.68
BasicEPS,9.72
DilutedNIAvailtoComStockholders,72361000000.0
NetIncomeCommonStockholders,72361000000.0
NetIncome,72361000000.0
NetIncomeIncludingNoncontrollingInterests,72361000000.0
NetIncomeContinuousOperations,72361000000.0
TaxProvision,16950000000.0
PretaxIncome,89311000000.0
OtherIncomeExpense,-238000000.0
OtherNonOperatingIncomeExpenses,-223000000.0
SpecialIncomeCharges,-30000000.0
WriteOff,30000000.0
GainOnSaleOfSecurity,15000000.0
NetNonOperatingInterestIncomeExpense,1026000000.0
InterestExpenseNonOperating,1968000000.0
InterestIncomeNonOperating,2994000000.0
OperatingIncome,88523000000.0
OperatingExpense,57529000000.0
ResearchAndDevelopment,27195000000.0
SellingGeneralAndAdministration,30334000000.0
SellingAndMarketingExpense,22759000000.0
GeneralAndAdministrativeExpense,7575000000.0
OtherGandA,7575000000.0
GrossProfit,146052000000.0
CostOfRevenue,65863000000.0
TotalRevenue,211915000000.0
OperatingRevenue,211915000000.0
