,2024-06-30
TaxEffectOfUnusualItems,-99918000.0
TaxRateForCalcs,0.182
NormalizedEBITDA,133558000000.0
TotalUnusualItems,-549000000.0
TotalUnusualItemsExcludingGoodwill,-549000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,88136000000.0
ReconciledDepreciation,22287000000.0
ReconciledCostOfRevenue,74114000000.0
EBITDA,133009000000.0
EBIT,110722000000.0
NetInterestIncome,222000000.0
InterestExpense,2935000000.0
InterestIncome,3157000000.0
NormalizedIncome,88585082000.0
NetIncomeFromContinuingAndDiscontinuedOperation,88136000000.0
TotalExpenses,135689000000.0
TotalOperatingIncomeAsReported,109433000000.0
DilutedAverageShares,7469000000.0
BasicAverageShares,7431000000.0
DilutedEPS,11.8
BasicEPS,11.86
DilutedNIAvailtoComStockholders,88136000000.0
NetIncomeCommonStockholders,88136000000.0
NetIncome,88136000000.0
NetIncomeIncludingNoncontrollingInterests,88136000000.0
NetIncomeContinuousOperations,88136000000.0
TaxProvision,19651000000.0
PretaxIncome,107787000000.0
OtherIncomeExpense,-1868000000.0
OtherNonOperatingIncomeExpenses,-1319000000.0
SpecialIncomeCharges,-206000000.0
WriteOff,206000000.0
GainOnSaleOfSecurity,-343000000.0
NetNonOperatingInterestIncomeExpense,222000000.0
InterestExpenseNonOperating,2935000000.0
InterestIncomeNonOperating,3157000000.0
OperatingIncome,109433000000.0
OperatingExpense,61575000000.0
ResearchAndDevelopment,29510000000.0
SellingGeneralAndAdministration,32065000000.0
SellingAndMarketingExpense,24456000000.0
GeneralAndAdministrativeExpense,7609000000.0
OtherGandA,7609000000.0
GrossProfit,171008000000.0
CostOfRevenue,74114000000.0
TotalRevenue,245122000000.0
OperatingRevenue,245122000000.0
