,2024-05-31
OrdinarySharesNumber,1503000000.0
ShareIssued,1503000000.0
NetDebt,
TotalDebt,11952000000.0
TangibleBookValue,13931000000.0
InvestedCapital,23339000000.0
WorkingCapital,14789000000.0
NetTangibleAssets,13931000000.0
CapitalLeaseObligations,3043000000.0
CommonStockEquity,14430000000.0
TotalCapitalization,22333000000.0
TotalEquityGrossMinorityInterest,14430000000.0
StockholdersEquity,14430000000.0
GainsLossesNotAffectingRetainedEarnings,53000000.0
OtherEquityAdjustments,53000000.0
RetainedEarnings,965000000.0
AdditionalPaidInCapital,13409000000.0
CapitalStock,3000000.0
CommonStock,3000000.0
TotalLiabilitiesNetMinorityInterest,23680000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,13087000000.0
OtherNonCurrentLiabilities,2618000000.0
PreferredSecuritiesOutsideStockEquity,0.0
DerivativeProductLiabilities,
NonCurrentDeferredLiabilities,
NonCurrentDeferredTaxesLiabilities,
LongTermDebtAndCapitalLeaseObligation,10469000000.0
LongTermCapitalLeaseObligation,2566000000.0
LongTermDebt,7903000000.0
CurrentLiabilities,10593000000.0
OtherCurrentLiabilities,
CurrentDebtAndCapitalLeaseObligation,1483000000.0
CurrentCapitalLeaseObligation,477000000.0
CurrentDebt,1006000000.0
OtherCurrentBorrowings,1000000000.0
CommercialPaper,
CurrentNotesPayable,6000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1869000000.0
CurrentProvisions,1282000000.0
PayablesAndAccruedExpenses,5959000000.0
CurrentAccruedExpenses,2011000000.0
Payables,3948000000.0
DividendsPayable,563000000.0
TotalTaxPayable,534000000.0
IncomeTaxPayable,534000000.0
AccountsPayable,2851000000.0
TotalAssets,38110000000.0
TotalNonCurrentAssets,12728000000.0
OtherNonCurrentAssets,4511000000.0
NonCurrentDeferredAssets,
NonCurrentDeferredTaxesAssets,
GoodwillAndOtherIntangibleAssets,499000000.0
OtherIntangibleAssets,259000000.0
Goodwill,240000000.0
NetPPE,7718000000.0
AccumulatedDepreciation,-5914000000.0
GrossPPE,13632000000.0
Leases,2023000000.0
ConstructionInProgress,193000000.0
OtherProperties,2718000000.0
MachineryFurnitureEquipment,4930000000.0
BuildingsAndImprovements,3439000000.0
LandAndImprovements,329000000.0
Properties,0.0
CurrentAssets,25382000000.0
OtherCurrentAssets,1854000000.0
PrepaidAssets,
Inventory,7519000000.0
FinishedGoods,7519000000.0
Receivables,4427000000.0
AccountsReceivable,4427000000.0
AllowanceForDoubtfulAccountsReceivable,-35000000.0
GrossAccountsReceivable,4462000000.0
CashCashEquivalentsAndShortTermInvestments,11582000000.0
OtherShortTermInvestments,1722000000.0
CashAndCashEquivalents,9860000000.0
CashEquivalents,8638000000.0
CashFinancial,1222000000.0
