,2023-05-31
FreeCashFlow,4872000000.0
RepurchaseOfCapitalStock,-5480000000.0
RepaymentOfDebt,-500000000.0
IssuanceOfDebt,
CapitalExpenditure,-969000000.0
InterestPaidSupplementalData,347000000.0
IncomeTaxPaidSupplementalData,1517000000.0
EndCashPosition,7441000000.0
BeginningCashPosition,8574000000.0
EffectOfExchangeRateChanges,-91000000.0
ChangesInCash,-1042000000.0
FinancingCashFlow,-7447000000.0
CashFlowFromContinuingFinancingActivities,-7447000000.0
NetOtherFinancingCharges,-102000000.0
ProceedsFromStockOptionExercised,651000000.0
CashDividendsPaid,-2012000000.0
CommonStockDividendPaid,-2012000000.0
NetCommonStockIssuance,-5480000000.0
CommonStockPayments,-5480000000.0
NetIssuancePaymentsOfDebt,-504000000.0
NetShortTermDebtIssuance,-4000000.0
NetLongTermDebtIssuance,-500000000.0
LongTermDebtPayments,-500000000.0
LongTermDebtIssuance,
InvestingCashFlow,564000000.0
CashFlowFromContinuingInvestingActivities,564000000.0
NetOtherInvestingChanges,52000000.0
NetInvestmentPurchaseAndSale,1481000000.0
SaleOfInvestment,7540000000.0
PurchaseOfInvestment,-6059000000.0
NetPPEPurchaseAndSale,-969000000.0
PurchaseOfPPE,-969000000.0
OperatingCashFlow,5841000000.0
CashFlowFromContinuingOperatingActivities,5841000000.0
ChangeInWorkingCapital,-513000000.0
ChangeInPayablesAndAccruedExpense,-225000000.0
ChangeInPayable,-225000000.0
ChangeInAccountPayable,-225000000.0
ChangeInPrepaidAssets,-644000000.0
ChangeInInventory,-133000000.0
ChangeInReceivables,489000000.0
ChangesInAccountReceivables,489000000.0
StockBasedCompensation,755000000.0
DeferredTax,-117000000.0
DeferredIncomeTax,-117000000.0
DepreciationAmortizationDepletion,859000000.0
DepreciationAndAmortization,859000000.0
AmortizationCashFlow,156000000.0
AmortizationOfIntangibles,156000000.0
Depreciation,703000000.0
OperatingGainsLosses,-213000000.0
NetForeignCurrencyExchangeGainLoss,-213000000.0
NetIncomeFromContinuingOperations,5070000000.0
