,2024-05-31
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.149
NormalizedEBITDA,7155000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,5700000000.0
ReconciledDepreciation,844000000.0
ReconciledCostOfRevenue,28475000000.0
EBITDA,7155000000.0
EBIT,6311000000.0
NetInterestIncome,161000000.0
NormalizedIncome,5700000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,5700000000.0
TotalExpenses,45051000000.0
DilutedAverageShares,1529700000.0
BasicAverageShares,1517600000.0
DilutedEPS,3.73
BasicEPS,3.76
DilutedNIAvailtoComStockholders,5700000000.0
NetIncomeCommonStockholders,5700000000.0
NetIncome,5700000000.0
NetIncomeIncludingNoncontrollingInterests,5700000000.0
NetIncomeContinuousOperations,5700000000.0
TaxProvision,1000000000.0
PretaxIncome,6700000000.0
OtherIncomeExpense,228000000.0
OtherNonOperatingIncomeExpenses,228000000.0
NetNonOperatingInterestIncomeExpense,161000000.0
TotalOtherFinanceCost,-161000000.0
OperatingIncome,6311000000.0
OperatingExpense,16576000000.0
OtherOperatingExpenses,
SellingGeneralAndAdministration,16576000000.0
SellingAndMarketingExpense,4285000000.0
GeneralAndAdministrativeExpense,12291000000.0
OtherGandA,12291000000.0
GrossProfit,22887000000.0
CostOfRevenue,28475000000.0
TotalRevenue,51362000000.0
OperatingRevenue,51362000000.0
