,2023-01-31
TreasurySharesNumber,
OrdinarySharesNumber,24661365720.0
ShareIssued,24661365720.0
NetDebt,7564000000.0
TotalDebt,12031000000.0
TangibleBookValue,16053000000.0
InvestedCapital,33054000000.0
WorkingCapital,16510000000.0
NetTangibleAssets,16053000000.0
CapitalLeaseObligations,1078000000.0
CommonStockEquity,22101000000.0
TotalCapitalization,31804000000.0
TotalEquityGrossMinorityInterest,22101000000.0
StockholdersEquity,22101000000.0
GainsLossesNotAffectingRetainedEarnings,-43000000.0
OtherEquityAdjustments,-43000000.0
TreasuryStock,
RetainedEarnings,10171000000.0
AdditionalPaidInCapital,11971000000.0
CapitalStock,2000000.0
CommonStock,2000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,19081000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,12518000000.0
OtherNonCurrentLiabilities,63000000.0
EmployeeBenefits,
TradeandOtherPayablesNonCurrent,1385000000.0
NonCurrentDeferredLiabilities,465000000.0
NonCurrentDeferredRevenue,218000000.0
NonCurrentDeferredTaxesLiabilities,247000000.0
LongTermDebtAndCapitalLeaseObligation,10605000000.0
LongTermCapitalLeaseObligation,902000000.0
LongTermDebt,9703000000.0
CurrentLiabilities,6563000000.0
OtherCurrentLiabilities,69000000.0
CurrentDeferredLiabilities,354000000.0
CurrentDeferredRevenue,354000000.0
CurrentDebtAndCapitalLeaseObligation,1426000000.0
CurrentCapitalLeaseObligation,176000000.0
CurrentDebt,1250000000.0
OtherCurrentBorrowings,1250000000.0
CurrentProvisions,108000000.0
PayablesAndAccruedExpenses,4606000000.0
CurrentAccruedExpenses,2946000000.0
InterestPayable,
Payables,1660000000.0
TotalTaxPayable,467000000.0
AccountsPayable,1193000000.0
TotalAssets,41182000000.0
TotalNonCurrentAssets,18109000000.0
OtherNonCurrentAssets,145000000.0
NonCurrentPrepaidAssets,3376000000.0
NonCurrentDeferredAssets,3396000000.0
NonCurrentDeferredTaxesAssets,3396000000.0
InvestmentsAndAdvances,299000000.0
OtherInvestments,299000000.0
GoodwillAndOtherIntangibleAssets,6048000000.0
OtherIntangibleAssets,1676000000.0
Goodwill,4372000000.0
NetPPE,4845000000.0
AccumulatedDepreciation,-2694000000.0
GrossPPE,7539000000.0
Leases,
ConstructionInProgress,382000000.0
OtherProperties,1038000000.0
MachineryFurnitureEquipment,4303000000.0
BuildingsAndImprovements,1598000000.0
LandAndImprovements,218000000.0
Properties,0.0
CurrentAssets,23073000000.0
OtherCurrentAssets,791000000.0
PrepaidAssets,
Inventory,5159000000.0
FinishedGoods,2263000000.0
WorkInProcess,466000000.0
RawMaterials,2430000000.0
Receivables,3827000000.0
AccountsReceivable,3827000000.0
AllowanceForDoubtfulAccountsReceivable,
GrossAccountsReceivable,
CashCashEquivalentsAndShortTermInvestments,13296000000.0
OtherShortTermInvestments,9907000000.0
CashAndCashEquivalents,3389000000.0
