,2023-01-31
FreeCashFlow,3808000000.0
RepurchaseOfCapitalStock,-10039000000.0
RepaymentOfDebt,0.0
IssuanceOfDebt,0.0
CapitalExpenditure,-1833000000.0
InterestPaidSupplementalData,254000000.0
IncomeTaxPaidSupplementalData,1404000000.0
EndCashPosition,3389000000.0
BeginningCashPosition,1990000000.0
ChangesInCash,1399000000.0
FinancingCashFlow,-11617000000.0
CashFlowFromContinuingFinancingActivities,-11617000000.0
NetOtherFinancingCharges,-1535000000.0
ProceedsFromStockOptionExercised,355000000.0
CashDividendsPaid,-398000000.0
CommonStockDividendPaid,-398000000.0
NetCommonStockIssuance,-10039000000.0
CommonStockPayments,-10039000000.0
NetIssuancePaymentsOfDebt,0.0
NetLongTermDebtIssuance,0.0
LongTermDebtPayments,0.0
LongTermDebtIssuance,0.0
InvestingCashFlow,7375000000.0
CashFlowFromContinuingInvestingActivities,7375000000.0
NetInvestmentPurchaseAndSale,9257000000.0
SaleOfInvestment,21231000000.0
PurchaseOfInvestment,-11974000000.0
NetBusinessPurchaseAndSale,-49000000.0
PurchaseOfBusiness,-49000000.0
NetPPEPurchaseAndSale,-1833000000.0
PurchaseOfPPE,-1833000000.0
CapitalExpenditureReported,
OperatingCashFlow,5641000000.0
CashFlowFromContinuingOperatingActivities,5641000000.0
ChangeInWorkingCapital,-2207000000.0
ChangeInOtherWorkingCapital,
ChangeInOtherCurrentLiabilities,252000000.0
ChangeInPayablesAndAccruedExpense,790000000.0
ChangeInAccruedExpense,1341000000.0
ChangeInPayable,-551000000.0
ChangeInAccountPayable,-551000000.0
ChangeInPrepaidAssets,-1517000000.0
ChangeInInventory,-2554000000.0
ChangeInReceivables,822000000.0
ChangesInAccountReceivables,822000000.0
OtherNonCashItems,1346000000.0
StockBasedCompensation,2709000000.0
DeferredTax,-2164000000.0
DeferredIncomeTax,-2164000000.0
DepreciationAmortizationDepletion,1544000000.0
DepreciationAndAmortization,1544000000.0
OperatingGainsLosses,45000000.0
GainLossOnInvestmentSecurities,45000000.0
NetIncomeFromContinuingOperations,4368000000.0
