,2023-01-31
TaxEffectOfUnusualItems,-284130000.0
TaxRateForCalcs,0.21
NormalizedEBITDA,7340000000.0
TotalUnusualItems,-1353000000.0
TotalUnusualItemsExcludingGoodwill,-1353000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,4368000000.0
ReconciledDepreciation,1544000000.0
ReconciledCostOfRevenue,11618000000.0
EBITDA,5987000000.0
EBIT,4443000000.0
NetInterestIncome,5000000.0
InterestExpense,262000000.0
InterestIncome,267000000.0
NormalizedIncome,5436870000.0
NetIncomeFromContinuingAndDiscontinuedOperation,4368000000.0
TotalExpenses,21397000000.0
TotalOperatingIncomeAsReported,4224000000.0
DilutedAverageShares,25070000000.0
BasicAverageShares,24870000000.0
DilutedEPS,0.174
BasicEPS,0.176
DilutedNIAvailtoComStockholders,4368000000.0
NetIncomeCommonStockholders,4368000000.0
NetIncome,4368000000.0
NetIncomeIncludingNoncontrollingInterests,4368000000.0
NetIncomeContinuousOperations,4368000000.0
TaxProvision,-187000000.0
PretaxIncome,4181000000.0
OtherIncomeExpense,-1401000000.0
OtherNonOperatingIncomeExpenses,-48000000.0
SpecialIncomeCharges,-1353000000.0
RestructuringAndMergernAcquisition,1353000000.0
NetNonOperatingInterestIncomeExpense,5000000.0
InterestExpenseNonOperating,262000000.0
InterestIncomeNonOperating,267000000.0
OperatingIncome,5577000000.0
OperatingExpense,9779000000.0
ResearchAndDevelopment,7339000000.0
SellingGeneralAndAdministration,2440000000.0
GrossProfit,15356000000.0
CostOfRevenue,11618000000.0
TotalRevenue,26974000000.0
OperatingRevenue,26974000000.0
